Date,Open,High,Low,Close
1-April-2003,,,,899.23,
2-April-2003,,,,916.53,
3-April-2003,,,,929.82,
4-April-2003,,,,949.65,
7-April-2003,,,,971.63,
8-April-2003,,,,970.24,
9-April-2003,,,,960.10,
10-April-2003,,,,927.21,
11-April-2003,,,,933.13,
15-April-2003,,,,941.44,
16-April-2003,,,,941.45,
17-April-2003,,,,931.09,
21-April-2003,,,,943.32,
22-April-2003,,,,944.28,
23-April-2003,,,,939.07,
24-April-2003,,,,938.70,
25-April-2003,,,,940.02,
28-April-2003,,,,948.79,
29-April-2003,,,,948.28,
30-April-2003,,,,952.27,
2-May-2003,,,,974.39,
5-May-2003,,,,998.05,
6-May-2003,,,,1001.78,
7-May-2003,,,,995.92,
8-May-2003,,,,994.79,
9-May-2003,,,,998.41,
12-May-2003,,,,1013.37,
13-May-2003,,,,1032.32,
14-May-2003,,,,1048.14,
15-May-2003,,,,1069.18,
16-May-2003,,,,1077.68,
19-May-2003,,,,1070.34,
20-May-2003,,,,1083.65,
21-May-2003,,,,1093.21,
22-May-2003,,,,1099.95,
23-May-2003,,,,1105.37,
26-May-2003,,,,1125.37,
27-May-2003,,,,1119.46,
28-May-2003,,,,1127.30,
29-May-2003,,,,1138.23,
30-May-2003,,,,1153.06,
2-June-2003,,,,1154.28,
3-June-2003,,,,1153.34,
4-June-2003,,,,1171.13,
5-June-2003,,,,1167.53,
6-June-2003,,,,1171.59,
9-June-2003,,,,1192.18,
10-June-2003,,,,1167.40,
11-June-2003,,,,1178.05,
12-June-2003,,,,1189.00,
13-June-2003,,,,1183.63,
16-June-2003,,,,1180.13,
17-June-2003,,,,1199.84,
18-June-2003,,,,1201.11,
19-June-2003,,,,1206.62,
20-June-2003,,,,1210.30,
23-June-2003,,,,1207.83,
24-June-2003,,,,1213.43,
25-June-2003,,,,1228.67,
26-June-2003,,,,1239.50,
27-June-2003,,,,1259.71,
30-June-2003,,,,1280.32,
1-July-2003,,,,1296.00,
2-July-2003,,,,1317.05,
3-July-2003,,,,1335.05,
4-July-2003,,,,1337.54,
7-July-2003,,,,1354.84,
8-July-2003,,,,1344.76,
9-July-2003,,,,1316.57,
10-July-2003,,,,1325.52,
11-July-2003,,,,1330.45,
14-July-2003,,,,1349.42,
15-July-2003,,,,1323.28,
16-July-2003,,,,1347.25,
17-July-2003,,,,1327.25,
18-July-2003,,,,1319.58,
21-July-2003,,,,1300.29,
22-July-2003,,,,1285.90,
23-July-2003,,,,1300.04,
24-July-2003,,,,1319.31,
25-July-2003,,,,1344.10,
28-July-2003,,,,1359.05,
29-July-2003,,,,1365.50,
30-July-2003,,,,1378.78,
31-July-2003,,,,1371.58,
1-August-2003,,,,1388.72,
4-August-2003,,,,1414.13,
5-August-2003,,,,1389.31,
6-August-2003,,,,1386.76,
7-August-2003,,,,1413.03,
8-August-2003,,,,1431.55,
11-August-2003,,,,1446.43,
12-August-2003,,,,1448.00,
13-August-2003,,,,1469.37,
14-August-2003,,,,1482.53,
18-August-2003,,,,1526.98,
19-August-2003,,,,1505.06,
20-August-2003,,,,1518.34,
21-August-2003,,,,1521.00,
22-August-2003,,,,1518.69,
25-August-2003,,,,1458.29,
26-August-2003,,,,1526.40,
27-August-2003,,,,1553.62,
28-August-2003,,,,1562.78,
29-August-2003,,,,1577.16,
1-September-2003,,,,1599.48,
2-September-2003,,,,1596.66,
3-September-2003,,,,1572.42,
4-September-2003,,,,1580.37,
5-September-2003,,,,1600.01,
8-September-2003,,,,1638.81,
9-September-2003,,,,1630.84,
10-September-2003,,,,1616.24,
11-September-2003,,,,1635.19,
12-September-2003,,,,1603.99,
15-September-2003,,,,1566.05,
16-September-2003,,,,1594.09,
17-September-2003,,,,1590.20,
18-September-2003,,,,1542.35,
19-September-2003,,,,1545.35,
22-September-2003,,,,1538.80,
23-September-2003,,,,1560.86,
24-September-2003,,,,1572.65,
25-September-2003,,,,1579.41,
26-September-2003,,,,1606.79,
29-September-2003,,,,1620.82,
30-September-2003,,,,1638.53,
1-October-2003,,,,1649.03,
3-October-2003,,,,1677.13,
6-October-2003,,,,1715.34,
7-October-2003,,,,1718.52,
8-October-2003,,,,1729.64,
9-October-2003,,,,1765.09,
10-October-2003,,,,1765.64,
13-October-2003,,,,1804.27,
14-October-2003,,,,1765.86,
15-October-2003,,,,1769.01,
16-October-2003,,,,1778.13,
17-October-2003,,,,1778.00,
20-October-2003,,,,1749.56,
21-October-2003,,,,1708.07,
22-October-2003,,,,1693.80,
23-October-2003,,,,1679.63,
24-October-2003,,,,1709.33,
27-October-2003,,,,1710.56,
28-October-2003,,,,1693.81,
29-October-2003,,,,1699.62,
30-October-2003,,,,1724.13,
31-October-2003,,,,1760.38,
3-November-2003,,,,1782.28,
4-November-2003,,,,1787.69,
5-November-2003,,,,1816.46,
6-November-2003,,,,1849.45,
7-November-2003,,,,1850.00,
10-November-2003,,,,1881.10,
11-November-2003,,,,1917.45,
12-November-2003,,,,1934.07,
13-November-2003,,,,1894.00,
14-November-2003,,,,1856.87,
17-November-2003,,,,1920.22,
18-November-2003,,,,1930.78,
19-November-2003,,,,1901.90,
20-November-2003,,,,1868.63,
21-November-2003,,,,1877.28,
24-November-2003,,,,1905.01,
25-November-2003,,,,1932.23,
27-November-2003,,,,1968.79,
28-November-2003,,,,1981.73,
1-December-2003,,,,2026.11,
2-December-2003,,,,2043.59,
3-December-2003,,,,2088.36,
4-December-2003,,,,2112.90,
5-December-2003,,,,2097.48,
8-December-2003,,,,2128.35,
9-December-2003,,,,2180.21,
10-December-2003,,,,2180.83,
11-December-2003,,,,2177.09,
12-December-2003,,,,2196.75,
15-December-2003,,,,2232.58,
16-December-2003,,,,2234.51,
17-December-2003,,,,2243.92,
18-December-2003,,,,2286.04,
19-December-2003,,,,2306.70,
22-December-2003,,,,2352.98,
23-December-2003,,,,2342.61,
24-December-2003,,,,2365.69,
26-December-2003,,,,2409.09,
29-December-2003,,,,2456.86,
30-December-2003,,,,2410.17,
31-December-2003,,,,2404.68,
1-January-2004,,,,2447.31,
2-January-2004,,,,2485.64,
5-January-2004,,,,2465.59,
