Historical Mutual Fund NAV of Canara Robeco Emerging Equities - Regular Plan - GROWTH,
scheme:- Canara Robeco Emerging Equities - Regular Plan - GROWTH,
Start Date:- 11-03-2005,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,112.69
20-11-2020,111.83
19-11-2020,111.21
18-11-2020,112.53
17-11-2020,111.1
13-11-2020,109.71
12-11-2020,109.1
11-11-2020,109.17
10-11-2020,108.6
09-11-2020,108.12
06-11-2020,106.47
05-11-2020,105.64
04-11-2020,103.9
03-11-2020,102.99
02-11-2020,101.97
30-10-2020,101.47
29-10-2020,101.66
28-10-2020,101.8
27-10-2020,102.98
26-10-2020,101.52
23-10-2020,103.03
22-10-2020,102.46
21-10-2020,102.23
20-10-2020,101.9
19-10-2020,101.69
16-10-2020,101.18
15-10-2020,100.33
14-10-2020,102.18
13-10-2020,101.66
12-10-2020,102.08
09-10-2020,102.13
08-10-2020,101.95
07-10-2020,101.66
06-10-2020,101.56
05-10-2020,100.83
01-10-2020,100.78
30-09-2020,99.77
29-09-2020,99.74
28-09-2020,99.55
25-09-2020,97.5
24-09-2020,95.49
23-09-2020,97.83
22-09-2020,98.04
21-09-2020,98.81
18-09-2020,101.94
17-09-2020,102.09
16-09-2020,102.78
15-09-2020,102.05
14-09-2020,100.94
11-09-2020,99.34
10-09-2020,99.01
09-09-2020,97.78
08-09-2020,98.3
07-09-2020,98.99
04-09-2020,99.49
03-09-2020,100.74
02-09-2020,100.68
01-09-2020,99.55
31-08-2020,98.83
28-08-2020,102.25
27-08-2020,101.82
26-08-2020,101.65
25-08-2020,101.11
24-08-2020,100.51
21-08-2020,99.67
20-08-2020,98.96
19-08-2020,98.84
18-08-2020,98.18
17-08-2020,96.78
14-08-2020,96.59
13-08-2020,97.58
12-08-2020,96.88
11-08-2020,96.82
10-08-2020,96.96
07-08-2020,96.07
06-08-2020,95.57
05-08-2020,94.8
04-08-2020,94.55
03-08-2020,93.07
31-07-2020,93.58
30-07-2020,93.18
29-07-2020,93.55
28-07-2020,93.89
27-07-2020,93.24
24-07-2020,94.1
23-07-2020,94.51
22-07-2020,93.96
21-07-2020,93.67
20-07-2020,93.2
17-07-2020,92.03
16-07-2020,90.8
15-07-2020,89.98
14-07-2020,90.12
13-07-2020,91.19
10-07-2020,91.22
09-07-2020,91.53
08-07-2020,90.74
07-07-2020,91.59
06-07-2020,90.92
03-07-2020,89.58
02-07-2020,88.99
01-07-2020,88.31
30-06-2020,87.66
29-06-2020,87.54
26-06-2020,88.25
25-06-2020,87.94
24-06-2020,87.79
23-06-2020,89.12
22-06-2020,87.94
19-06-2020,87.28
18-06-2020,86.14
17-06-2020,85.08
16-06-2020,85.09
15-06-2020,84.54
12-06-2020,85.56
11-06-2020,84.84
10-06-2020,86.3
09-06-2020,85.89
08-06-2020,86.9
05-06-2020,86.82
04-06-2020,85.73
03-06-2020,85.95
02-06-2020,85.55
01-06-2020,84.31
29-05-2020,82.07
28-05-2020,81.57
27-05-2020,80.19
26-05-2020,78.95
22-05-2020,78.94
21-05-2020,79.68
20-05-2020,79.47
19-05-2020,77.77
18-05-2020,77.41
15-05-2020,80.1
14-05-2020,80.34
13-05-2020,81.3
12-05-2020,79.93
11-05-2020,80.19
08-05-2020,79.83
07-05-2020,79.51
06-05-2020,79.96
05-05-2020,79.47
04-05-2020,80.46
30-04-2020,84.29
29-04-2020,82.7
28-04-2020,81.38
27-04-2020,80.64
24-04-2020,79.33
23-04-2020,80.25
22-04-2020,79.52
21-04-2020,78.67
20-04-2020,80.97
17-04-2020,80.95
16-04-2020,78.6
15-04-2020,77.84
13-04-2020,78.44
09-04-2020,79.73
08-04-2020,76.45
07-04-2020,75.69
03-04-2020,71.16
01-04-2020,72.72
31-03-2020,74.99
30-03-2020,72.68
27-03-2020,75.22
26-03-2020,75.13
25-03-2020,72.46
24-03-2020,68.76
23-03-2020,67.14
20-03-2020,77.46
19-03-2020,73.84
18-03-2020,76.19
17-03-2020,80.98
16-03-2020,83.03
13-03-2020,88.72
12-03-2020,86.23
11-03-2020,93.17
09-03-2020,93.64
06-03-2020,97.09
05-03-2020,98.46
04-03-2020,98.22
03-03-2020,99.95
02-03-2020,98.33
28-02-2020,99.25
27-02-2020,102.14
26-02-2020,102.51
25-02-2020,103.25
24-02-2020,103.5
20-02-2020,105.34
19-02-2020,104.95
18-02-2020,103.27
17-02-2020,103.18
14-02-2020,103.85
13-02-2020,104.21
12-02-2020,103.86
11-02-2020,103.45
10-02-2020,103.1
07-02-2020,103.68
06-02-2020,103.21
05-02-2020,102.81
04-02-2020,101.57
03-02-2020,99.42
31-01-2020,101.06
30-01-2020,101.16
29-01-2020,101.46
