Historical Mutual Fund NAV of Nippon India Dynamic Bond Fund-Growth Plan-Growth Option,
scheme:- Nippon India Dynamic Bond Fund-Growth Plan-Growth Option,
Start Date:- 15-11-2004,
End Date:- 13-11-2020,
NAV Date,NAV (Rs)
13-11-2020,28.8139
12-11-2020,28.7688
11-11-2020,28.7645
10-11-2020,28.798
09-11-2020,28.9258
06-11-2020,28.9078
05-11-2020,28.9006
04-11-2020,28.8882
03-11-2020,28.8807
02-11-2020,28.936
29-10-2020,28.8961
28-10-2020,28.908
27-10-2020,28.9381
26-10-2020,28.8777
23-10-2020,28.7537
22-10-2020,28.6915
21-10-2020,28.6692
20-10-2020,28.5917
19-10-2020,28.5707
16-10-2020,28.5497
15-10-2020,28.4824
14-10-2020,28.4871
13-10-2020,28.4481
12-10-2020,28.4119
09-10-2020,28.3434
08-10-2020,28.0493
07-10-2020,28.015
06-10-2020,27.9888
05-10-2020,28.1038
01-10-2020,28.1085
30-09-2020,28.0156
29-09-2020,27.9916
28-09-2020,28.2208
25-09-2020,28.178
24-09-2020,28.1927
23-09-2020,28.2119
22-09-2020,28.2103
21-09-2020,28.3209
18-09-2020,28.3437
17-09-2020,28.3279
16-09-2020,28.3249
15-09-2020,28.2389
14-09-2020,28.3074
11-09-2020,28.311
10-09-2020,28.3177
09-09-2020,28.3135
08-09-2020,28.3086
07-09-2020,28.5957
04-09-2020,28.6019
03-09-2020,28.6013
02-09-2020,28.5607
01-09-2020,28.5798
31-08-2020,28.1561
28-08-2020,28.1499
27-08-2020,28.194
26-08-2020,28.1738
25-08-2020,28.1998
24-08-2020,28.0821
21-08-2020,28.1874
20-08-2020,28.3647
19-08-2020,28.3843
18-08-2020,28.4223
17-08-2020,28.4392
14-08-2020,28.4169
13-08-2020,28.4634
12-08-2020,28.4839
11-08-2020,28.4713
10-08-2020,28.5035
07-08-2020,28.4876
06-08-2020,28.5522
05-08-2020,28.5597
04-08-2020,28.5435
03-08-2020,28.5491
31-07-2020,28.5198
30-07-2020,28.5172
29-07-2020,28.5118
28-07-2020,28.5221
27-07-2020,28.5575
24-07-2020,28.5328
23-07-2020,28.5458
22-07-2020,28.4658
21-07-2020,28.4682
20-07-2020,28.4314
17-07-2020,28.3892
16-07-2020,28.4564
15-07-2020,28.4341
14-07-2020,28.431
13-07-2020,28.4085
10-07-2020,28.3209
09-07-2020,28.3413
08-07-2020,28.277
07-07-2020,28.2367
06-07-2020,28.231
03-07-2020,28.1468
02-07-2020,28.1634
01-07-2020,28.1608
30-06-2020,28.1299
29-06-2020,28.0867
26-06-2020,28.0767
25-06-2020,28.0677
24-06-2020,28.0783
23-06-2020,28.0425
22-06-2020,28.0209
19-06-2020,27.9921
18-06-2020,27.9742
17-06-2020,27.9256
16-06-2020,27.9304
15-06-2020,27.9463
12-06-2020,27.914
11-06-2020,27.9582
10-06-2020,27.9253
09-06-2020,27.8879
08-06-2020,27.8724
05-06-2020,27.8782
04-06-2020,27.8951
03-06-2020,27.8606
02-06-2020,27.855
01-06-2020,27.8291
29-05-2020,27.8901
28-05-2020,27.8916
27-05-2020,27.893
26-05-2020,27.8947
22-05-2020,27.8719
21-05-2020,27.7791
20-05-2020,27.7591
19-05-2020,27.7638
18-05-2020,27.7326
15-05-2020,27.7132
14-05-2020,27.7303
13-05-2020,27.7082
12-05-2020,27.7001
11-05-2020,27.684
08-05-2020,27.8682
06-05-2020,27.783
05-05-2020,27.6918
04-05-2020,27.607
30-04-2020,27.5178
29-04-2020,27.4597
28-04-2020,27.4777
27-04-2020,27.4747
24-04-2020,27.454
23-04-2020,27.5918
22-04-2020,27.4545
21-04-2020,27.4175
20-04-2020,27.3487
17-04-2020,27.113
16-04-2020,26.9275
15-04-2020,26.8246
13-04-2020,26.6338
09-04-2020,26.5551
08-04-2020,26.5211
07-04-2020,26.5598
03-04-2020,26.7084
31-03-2020,26.8153
30-03-2020,26.7349
27-03-2020,26.8256
26-03-2020,26.497
24-03-2020,26.3838
23-03-2020,26.3112
20-03-2020,26.5388
19-03-2020,26.3143
18-03-2020,26.5812
17-03-2020,26.592
16-03-2020,26.6906
13-03-2020,26.582
12-03-2020,26.7958
11-03-2020,26.9553
09-03-2020,27.0567
06-03-2020,26.9588
05-03-2020,26.8931
04-03-2020,26.8936
03-03-2020,26.749
02-03-2020,26.7488
28-02-2020,26.6933
27-02-2020,26.6998
26-02-2020,26.7324
25-02-2020,26.6935
24-02-2020,26.6996
20-02-2020,26.6347
18-02-2020,26.6613
17-02-2020,26.6638
14-02-2020,26.6828
13-02-2020,26.6331
12-02-2020,26.5531
11-02-2020,26.5505
10-02-2020,26.5633
07-02-2020,26.5374
06-02-2020,26.4838
05-02-2020,26.3489
04-02-2020,26.3442
03-02-2020,26.3313
31-01-2020,26.1474
30-01-2020,26.178
29-01-2020,26.17
28-01-2020,26.1651
27-01-2020,26.1957
24-01-2020,26.1585
23-01-2020,26.1285
22-01-2020,26.0795
21-01-2020,26.0828
20-01-2020,26.0653
17-01-2020,26.0683
16-01-2020,26.0352
15-01-2020,26.012
14-01-2020,25.9802
13-01-2020,26.073
10-01-2020,26.0848
09-01-2020,26.1755
08-01-2020,26.1223
07-01-2020,26.1214
06-01-2020,26.0998
03-01-2020,26.2016
02-01-2020,26.2041
01-01-2020,26.192
31-12-2019,26.1147
30-12-2019,26.1211
27-12-2019,26.1399
26-12-2019,26.1189
24-12-2019,26.1104
23-12-2019,26.1128
20-12-2019,26.0767
19-12-2019,25.9582
18-12-2019,25.9675
17-12-2019,25.9274
16-12-2019,25.8821
13-12-2019,25.8771
12-12-2019,25.8968
11-12-2019,25.8984
10-12-2019,25.9451
09-12-2019,25.9804
06-12-2019,25.9618
05-12-2019,26.0098
04-12-2019,26.2181
03-12-2019,26.1917
02-12-2019,26.1722
29-11-2019,26.1867
28-11-2019,26.1928
27-11-2019,26.1685
26-11-2019,26.1668
25-11-2019,26.172
22-11-2019,26.1366
21-11-2019,26.1268
20-11-2019,26.1692
19-11-2019,26.1383
18-11-2019,26.1197
15-11-2019,26.091
14-11-2019,26.0767
13-11-2019,26.0588
11-11-2019,26.0137
08-11-2019,26.027
07-11-2019,26.0658
06-11-2019,26.0914
05-11-2019,26.0513
04-11-2019,26.0902
01-11-2019,26.1087
31-10-2019,26.1056
30-10-2019,26.0729
29-10-2019,26.0523
25-10-2019,26.0456
24-10-2019,26.0368
23-10-2019,26.0349
22-10-2019,26.0024
18-10-2019,25.9934
17-10-2019,25.9773
16-10-2019,26.0389
15-10-2019,26.0068
14-10-2019,26.0114
11-10-2019,25.9527
10-10-2019,26.0005
09-10-2019,26.0249
07-10-2019,26.0022
04-10-2019,25.9702
03-10-2019,26.035
01-10-2019,25.9515
30-09-2019,25.8699
27-09-2019,25.8113
26-09-2019,25.8159
25-09-2019,25.7783
24-09-2019,25.7741
23-09-2019,25.8129
20-09-2019,25.7523
19-09-2019,25.937
18-09-2019,25.9456
17-09-2019,25.8733
16-09-2019,25.8783
13-09-2019,25.9578
12-09-2019,25.9465
11-09-2019,25.9499
09-09-2019,26.0579
06-09-2019,26.0082
05-09-2019,26.0261
04-09-2019,26.0422
03-09-2019,26.0513
30-08-2019,25.975
29-08-2019,25.9745
28-08-2019,25.9686
27-08-2019,25.986
