Historical Mutual Fund NAV of Canara Robeco Gilt Fund - Regular Plan - Growth,
scheme:- Canara Robeco Gilt Fund - Regular Plan - Growth,
Start Date:- 29-12-1999,
End Date:- 13-11-2020,
NAV Date,NAV (Rs)
13-11-2020,59.9671
12-11-2020,59.8645
11-11-2020,59.8788
10-11-2020,59.8649
09-11-2020,59.9654
06-11-2020,59.9832
05-11-2020,59.9308
04-11-2020,59.8316
03-11-2020,59.8061
02-11-2020,59.8678
29-10-2020,59.867
28-10-2020,59.9622
27-10-2020,59.9925
26-10-2020,60.0219
23-10-2020,59.8773
22-10-2020,59.7252
21-10-2020,59.7326
20-10-2020,59.6861
19-10-2020,59.6509
16-10-2020,59.6052
15-10-2020,59.6918
14-10-2020,59.6709
13-10-2020,59.6504
12-10-2020,59.6461
09-10-2020,59.4519
08-10-2020,59.0978
07-10-2020,59.0834
06-10-2020,59.0361
05-10-2020,59.107
01-10-2020,59.06
30-09-2020,58.9602
29-09-2020,58.8752
28-09-2020,58.8144
25-09-2020,58.8984
24-09-2020,58.9549
23-09-2020,58.9579
22-09-2020,58.9412
21-09-2020,58.9264
18-09-2020,58.9077
17-09-2020,58.8765
16-09-2020,58.9634
15-09-2020,58.8768
14-09-2020,58.8501
11-09-2020,58.8198
10-09-2020,58.8533
09-09-2020,58.9541
08-09-2020,58.7931
07-09-2020,59.0537
04-09-2020,59.2386
03-09-2020,59.349
02-09-2020,59.2581
01-09-2020,59.2232
31-08-2020,58.448
28-08-2020,58.2724
27-08-2020,58.2377
26-08-2020,58.2031
25-08-2020,58.3287
24-08-2020,58.1479
21-08-2020,58.5108
20-08-2020,58.9453
19-08-2020,58.927
18-08-2020,58.9988
17-08-2020,59.0114
14-08-2020,59.039
13-08-2020,59.237
12-08-2020,59.2285
11-08-2020,59.1668
10-08-2020,59.1615
07-08-2020,59.1655
06-08-2020,59.27
05-08-2020,59.4174
04-08-2020,59.3949
03-08-2020,59.3456
31-07-2020,59.3462
30-07-2020,59.3722
29-07-2020,59.3553
28-07-2020,59.3209
27-07-2020,59.3292
24-07-2020,59.4169
23-07-2020,59.4187
22-07-2020,59.3894
21-07-2020,59.3424
20-07-2020,59.4013
17-07-2020,59.3755
16-07-2020,59.3609
15-07-2020,59.3136
14-07-2020,59.2777
13-07-2020,59.3967
10-07-2020,59.4178
09-07-2020,59.2999
08-07-2020,59.271
07-07-2020,59.1824
06-07-2020,59.0232
03-07-2020,58.9458
02-07-2020,58.9874
01-07-2020,59.0037
30-06-2020,58.8136
29-06-2020,58.744
26-06-2020,58.6774
25-06-2020,58.6644
24-06-2020,58.6098
23-06-2020,58.6438
22-06-2020,58.6969
19-06-2020,58.7177
18-06-2020,58.6996
17-06-2020,58.6124
16-06-2020,58.587
15-06-2020,58.7099
12-06-2020,58.6617
11-06-2020,58.7014
10-06-2020,58.6823
09-06-2020,58.6555
08-06-2020,58.593
05-06-2020,58.4946
04-06-2020,58.5647
03-06-2020,58.5219
02-06-2020,58.5396
01-06-2020,58.5195
29-05-2020,58.6196
28-05-2020,58.6847
27-05-2020,58.6639
26-05-2020,58.6521
22-05-2020,58.5982
21-05-2020,58.2657
20-05-2020,58.1944
19-05-2020,58.1888
18-05-2020,58.0729
15-05-2020,57.963
14-05-2020,57.9636
13-05-2020,57.8982
12-05-2020,57.7243
11-05-2020,57.7421
08-05-2020,58.3355
06-05-2020,58.0693
05-05-2020,57.8284
04-05-2020,57.5775
30-04-2020,57.3963
29-04-2020,57.3288
28-04-2020,57.3328
27-04-2020,57.3408
24-04-2020,57.3537
23-04-2020,57.7642
22-04-2020,56.9833
21-04-2020,57.0138
20-04-2020,56.9203
17-04-2020,56.2637
16-04-2020,56.0256
15-04-2020,55.9119
13-04-2020,55.6962
09-04-2020,55.5373
08-04-2020,55.5265
07-04-2020,55.6723
03-04-2020,56.1346
31-03-2020,56.5188
30-03-2020,56.2711
27-03-2020,56.6217
26-03-2020,56.1185
24-03-2020,55.7534
23-03-2020,55.6186
20-03-2020,56.1425
19-03-2020,55.536
18-03-2020,56.1057
17-03-2020,56.1937
16-03-2020,56.3774
13-03-2020,56.0198
12-03-2020,56.4821
11-03-2020,56.866
09-03-2020,57.1617
06-03-2020,56.821
05-03-2020,56.6214
04-03-2020,56.6178
03-03-2020,56.2071
02-03-2020,56.2363
28-02-2020,56.1198
27-02-2020,56.1184
26-02-2020,56.1999
25-02-2020,56.1253
24-02-2020,56.1273
20-02-2020,55.9788
18-02-2020,56.0646
17-02-2020,56.0637
14-02-2020,56.0797
13-02-2020,55.9196
12-02-2020,55.7751
11-02-2020,55.7719
10-02-2020,55.786
07-02-2020,55.7139
06-02-2020,55.5923
05-02-2020,55.3017
04-02-2020,55.2734
03-02-2020,55.2542
31-01-2020,54.9966
30-01-2020,55.0399
29-01-2020,55.0184
28-01-2020,55.0041
27-01-2020,55.0428
24-01-2020,54.9869
23-01-2020,54.9346
22-01-2020,54.8638
21-01-2020,54.8548
20-01-2020,54.8284
17-01-2020,54.825
16-01-2020,54.7608
15-01-2020,54.7207
14-01-2020,54.655
13-01-2020,54.7639
10-01-2020,54.7548
09-01-2020,54.8555
08-01-2020,54.7716
07-01-2020,54.7646
06-01-2020,54.7206
03-01-2020,54.85
02-01-2020,54.8508
01-01-2020,54.825
31-12-2019,54.7159
30-12-2019,54.7308
27-12-2019,54.757
26-12-2019,54.6893
24-12-2019,54.6612
23-12-2019,54.6768
20-12-2019,54.6182
19-12-2019,54.3998
18-12-2019,54.4268
17-12-2019,54.3507
16-12-2019,54.2566
13-12-2019,54.2512
12-12-2019,54.2749
11-12-2019,54.298
10-12-2019,54.3707
09-12-2019,54.4317
06-12-2019,54.392
05-12-2019,54.4772
04-12-2019,54.8405
03-12-2019,54.813
02-12-2019,54.7596
29-11-2019,54.786
28-11-2019,54.8039
27-11-2019,54.7669
26-11-2019,54.7612
25-11-2019,54.774
22-11-2019,54.7121
21-11-2019,54.6757
20-11-2019,54.7763
19-11-2019,54.7179
18-11-2019,54.6743
15-11-2019,54.5915
14-11-2019,54.5597
13-11-2019,54.5271
11-11-2019,54.4364
08-11-2019,54.4495
07-11-2019,54.5121
06-11-2019,54.5421
05-11-2019,54.4856
04-11-2019,54.5461
01-11-2019,54.5713
31-10-2019,54.556
30-10-2019,54.4861
29-10-2019,54.4503
25-10-2019,54.4454
24-10-2019,54.4316
23-10-2019,54.4297
22-10-2019,54.3626
18-10-2019,54.3532
17-10-2019,54.3446
16-10-2019,54.4429
15-10-2019,54.3768
14-10-2019,54.3827
11-10-2019,54.2692
10-10-2019,54.3746
09-10-2019,54.4152
07-10-2019,54.3662
04-10-2019,54.3771
03-10-2019,54.5734
01-10-2019,54.3779
30-09-2019,54.1747
27-09-2019,54.0691
26-09-2019,54.0793
25-09-2019,53.9843
24-09-2019,53.9637
23-09-2019,54.0461
20-09-2019,53.9315
19-09-2019,54.4156
18-09-2019,54.4417
17-09-2019,54.2055
16-09-2019,54.2441
13-09-2019,54.4036
12-09-2019,54.3458
11-09-2019,54.3723
09-09-2019,54.6245
06-09-2019,54.5371
05-09-2019,54.5715
