Historical Mutual Fund NAV of ICICI Prudential Gilt Fund - Growth,
scheme:- ICICI Prudential Gilt Fund - Growth,
Start Date:- 19-08-1999,
End Date:- 13-11-2020,
NAV Date,NAV (Rs)
13-11-2020,77.2858
12-11-2020,77.1552
11-11-2020,77.1414
10-11-2020,77.1157
09-11-2020,77.2673
06-11-2020,77.33
05-11-2020,77.2784
04-11-2020,77.1369
03-11-2020,77.0358
02-11-2020,77.098
29-10-2020,77.1211
28-10-2020,77.2715
27-10-2020,77.3048
26-10-2020,77.3355
23-10-2020,77.0458
22-10-2020,76.7755
21-10-2020,76.7589
20-10-2020,76.658
19-10-2020,76.6294
16-10-2020,76.6269
15-10-2020,76.8172
14-10-2020,76.7725
13-10-2020,76.7906
12-10-2020,76.7842
09-10-2020,76.5045
08-10-2020,75.9055
07-10-2020,75.9085
06-10-2020,75.8517
05-10-2020,75.9582
01-10-2020,75.9364
30-09-2020,75.8296
29-09-2020,75.6839
28-09-2020,75.5987
25-09-2020,75.7225
24-09-2020,75.8811
23-09-2020,75.8797
22-09-2020,75.8423
21-09-2020,75.8239
18-09-2020,75.7894
17-09-2020,75.8217
16-09-2020,75.9914
15-09-2020,75.846
14-09-2020,75.8477
11-09-2020,75.7767
10-09-2020,75.8358
09-09-2020,75.9779
08-09-2020,75.6941
07-09-2020,76.044
04-09-2020,76.3422
03-09-2020,76.4468
02-09-2020,76.3326
01-09-2020,76.2065
31-08-2020,75.0343
28-08-2020,74.8142
27-08-2020,74.8361
26-08-2020,74.7869
25-08-2020,74.9517
24-08-2020,74.8047
21-08-2020,75.2962
20-08-2020,75.9315
19-08-2020,75.8873
18-08-2020,75.9716
17-08-2020,75.9919
14-08-2020,76.0058
13-08-2020,76.2839
12-08-2020,76.2633
11-08-2020,76.1848
10-08-2020,76.1556
07-08-2020,76.1787
06-08-2020,76.3373
05-08-2020,76.538
04-08-2020,76.5032
03-08-2020,76.4358
31-07-2020,76.4393
30-07-2020,76.4559
29-07-2020,76.4667
28-07-2020,76.3993
27-07-2020,76.3758
24-07-2020,76.4749
23-07-2020,76.4573
22-07-2020,76.4137
21-07-2020,76.3855
20-07-2020,76.4222
17-07-2020,76.4221
16-07-2020,76.4081
15-07-2020,76.3386
14-07-2020,76.2582
13-07-2020,76.3745
10-07-2020,76.331
09-07-2020,76.148
08-07-2020,76.1227
07-07-2020,76.0082
06-07-2020,75.7888
03-07-2020,75.7248
02-07-2020,75.7132
01-07-2020,75.7192
30-06-2020,75.5193
29-06-2020,75.3708
26-06-2020,75.2693
25-06-2020,75.2763
24-06-2020,75.2018
23-06-2020,75.2677
22-06-2020,75.3213
19-06-2020,75.3345
18-06-2020,75.3043
17-06-2020,75.1731
16-06-2020,75.1579
15-06-2020,75.3419
12-06-2020,75.3148
11-06-2020,75.4068
10-06-2020,75.3765
09-06-2020,75.3359
08-06-2020,75.2364
05-06-2020,75.1273
04-06-2020,75.1986
03-06-2020,75.1911
02-06-2020,75.157
01-06-2020,75.1413
29-05-2020,75.3025
28-05-2020,75.3675
27-05-2020,75.3185
26-05-2020,75.2594
22-05-2020,75.1696
21-05-2020,74.6248
20-05-2020,74.4768
19-05-2020,74.4228
18-05-2020,74.2468
15-05-2020,74.045
14-05-2020,74.0605
13-05-2020,73.9665
12-05-2020,73.7333
11-05-2020,73.8318
08-05-2020,74.6205
06-05-2020,74.2499
05-05-2020,73.9708
04-05-2020,73.5583
30-04-2020,73.3006
29-04-2020,73.2388
28-04-2020,73.2454
27-04-2020,73.1758
24-04-2020,73.1535
23-04-2020,73.7802
22-04-2020,72.6742
21-04-2020,72.7418
20-04-2020,72.5115
17-04-2020,71.5284
16-04-2020,71.2437
15-04-2020,71.0955
13-04-2020,70.816
09-04-2020,70.5555
08-04-2020,70.3355
07-04-2020,70.5514
03-04-2020,71.1563
31-03-2020,71.6252
30-03-2020,71.2293
27-03-2020,71.6765
26-03-2020,71.185
24-03-2020,70.7283
23-03-2020,70.4338
20-03-2020,71.1658
19-03-2020,70.31
18-03-2020,71.0261
17-03-2020,71.075
16-03-2020,71.251
13-03-2020,70.8118
12-03-2020,71.4556
11-03-2020,72.0079
09-03-2020,72.4088
06-03-2020,71.9789
05-03-2020,71.7287
04-03-2020,71.6259
03-03-2020,71.1613
02-03-2020,71.2481
28-02-2020,71.1607
27-02-2020,71.2394
26-02-2020,71.4113
25-02-2020,71.3524
24-02-2020,71.3858
20-02-2020,71.1836
18-02-2020,71.3563
17-02-2020,71.3979
14-02-2020,71.4142
13-02-2020,70.9874
12-02-2020,70.6751
11-02-2020,70.6534
10-02-2020,70.6085
07-02-2020,70.5688
06-02-2020,70.5249
05-02-2020,70.1376
04-02-2020,70.1725
03-02-2020,70.1192
31-01-2020,69.4
30-01-2020,69.5003
29-01-2020,69.4615
28-01-2020,69.4633
27-01-2020,69.6055
24-01-2020,69.5169
23-01-2020,69.4183
22-01-2020,69.2902
21-01-2020,69.3168
20-01-2020,69.2113
17-01-2020,69.2265
16-01-2020,69.017
15-01-2020,68.8687
14-01-2020,68.6338
13-01-2020,68.9853
10-01-2020,69.019
09-01-2020,69.4087
08-01-2020,69.1273
07-01-2020,69.1687
06-01-2020,69.1143
03-01-2020,69.4396
02-01-2020,69.5003
