Historical Mutual Fund NAV of Axis Dynamic Bond Fund - Regular Plan - Growth Option,
scheme:- Axis Dynamic Bond Fund - Regular Plan - Growth Option,
Start Date:- 27-04-2011,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,22.9404
20-11-2020,22.9306
19-11-2020,22.9182
18-11-2020,22.9217
17-11-2020,22.9347
13-11-2020,22.8835
12-11-2020,22.8735
11-11-2020,22.8816
10-11-2020,22.8967
09-11-2020,22.9089
06-11-2020,22.923
05-11-2020,22.9144
04-11-2020,22.8747
03-11-2020,22.8953
02-11-2020,22.9273
29-10-2020,22.9039
28-10-2020,22.9207
27-10-2020,22.9315
26-10-2020,22.9411
23-10-2020,22.8539
22-10-2020,22.802
21-10-2020,22.7915
20-10-2020,22.7492
19-10-2020,22.7513
16-10-2020,22.7292
15-10-2020,22.7311
14-10-2020,22.691
13-10-2020,22.6682
12-10-2020,22.6623
09-10-2020,22.6303
08-10-2020,22.4246
07-10-2020,22.4111
06-10-2020,22.4211
05-10-2020,22.4236
01-10-2020,22.4181
30-09-2020,22.3736
29-09-2020,22.3653
28-09-2020,22.3551
25-09-2020,22.372
24-09-2020,22.4056
23-09-2020,22.4361
22-09-2020,22.4513
21-09-2020,22.4511
18-09-2020,22.4519
17-09-2020,22.4481
16-09-2020,22.4465
15-09-2020,22.4419
14-09-2020,22.4566
11-09-2020,22.4462
10-09-2020,22.4647
09-09-2020,22.4665
08-09-2020,22.4402
07-09-2020,22.5245
04-09-2020,22.591
03-09-2020,22.6085
02-09-2020,22.5178
01-09-2020,22.4889
31-08-2020,22.3256
28-08-2020,22.1363
27-08-2020,22.1626
26-08-2020,22.1494
25-08-2020,22.156
24-08-2020,22.1368
21-08-2020,22.2308
20-08-2020,22.3415
19-08-2020,22.3363
18-08-2020,22.3881
17-08-2020,22.4588
14-08-2020,22.4346
13-08-2020,22.462
12-08-2020,22.4351
11-08-2020,22.4544
10-08-2020,22.4842
07-08-2020,22.5201
06-08-2020,22.5663
05-08-2020,22.6311
04-08-2020,22.625
03-08-2020,22.617
31-07-2020,22.5986
30-07-2020,22.5529
29-07-2020,22.526
28-07-2020,22.5181
27-07-2020,22.5418
24-07-2020,22.5495
23-07-2020,22.5445
22-07-2020,22.5495
21-07-2020,22.5566
20-07-2020,22.5962
17-07-2020,22.5746
16-07-2020,22.6037
15-07-2020,22.5813
14-07-2020,22.557
13-07-2020,22.5835
10-07-2020,22.5358
09-07-2020,22.441
08-07-2020,22.4234
07-07-2020,22.3257
06-07-2020,22.2663
03-07-2020,22.2415
02-07-2020,22.2509
01-07-2020,22.2219
30-06-2020,22.2118
29-06-2020,22.1993
26-06-2020,22.1719
25-06-2020,22.1117
24-06-2020,22.0699
23-06-2020,22.0819
22-06-2020,22.0498
19-06-2020,22.0334
18-06-2020,21.9608
17-06-2020,21.9211
16-06-2020,21.9269
15-06-2020,21.9194
12-06-2020,21.909
11-06-2020,21.9103
10-06-2020,21.9006
09-06-2020,21.8682
08-06-2020,21.8556
05-06-2020,21.8751
04-06-2020,21.8018
03-06-2020,21.8212
02-06-2020,21.8036
01-06-2020,21.8346
29-05-2020,21.838
28-05-2020,21.8473
27-05-2020,21.8353
26-05-2020,21.8528
22-05-2020,21.8454
21-05-2020,21.6978
20-05-2020,21.6889
19-05-2020,21.6806
18-05-2020,21.6743
15-05-2020,21.6407
14-05-2020,21.6349
13-05-2020,21.5531
12-05-2020,21.557
11-05-2020,21.5206
08-05-2020,21.6692
06-05-2020,21.5976
05-05-2020,21.5042
04-05-2020,21.4276
30-04-2020,21.3099
29-04-2020,21.2542
28-04-2020,21.2751
27-04-2020,21.3368
24-04-2020,21.34
23-04-2020,21.5332
22-04-2020,21.4185
21-04-2020,21.4101
20-04-2020,21.3237
17-04-2020,21.1502
16-04-2020,20.9409
15-04-2020,20.8087
13-04-2020,20.7352
09-04-2020,20.7031
08-04-2020,20.6927
07-04-2020,20.9896
03-04-2020,21.1816
31-03-2020,21.3032
30-03-2020,21.2035
27-03-2020,21.2627
26-03-2020,20.6277
24-03-2020,20.5359
23-03-2020,20.4669
20-03-2020,20.7055
19-03-2020,20.5206
18-03-2020,20.743
17-03-2020,20.8853
16-03-2020,20.9997
13-03-2020,20.9563
12-03-2020,21.1442
11-03-2020,21.3821
09-03-2020,21.4653
06-03-2020,21.3775
05-03-2020,21.3053
04-03-2020,21.3232
03-03-2020,21.1898
02-03-2020,21.2249
28-02-2020,21.1999
27-02-2020,21.2189
26-02-2020,21.2421
25-02-2020,21.2203
24-02-2020,21.2222
20-02-2020,21.1455
18-02-2020,21.1613
17-02-2020,21.1818
14-02-2020,21.1307
13-02-2020,21.082
12-02-2020,21.015
11-02-2020,21.0398
10-02-2020,21.0352
07-02-2020,21.0283
