Historical Mutual Fund NAV of Axis Banking & PSU Debt Fund - Regular Plan - Growth option,
scheme:- Axis Banking & PSU Debt Fund - Regular Plan - Growth option,
Start Date:- 07-06-2012,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,2044.1606
20-11-2020,2043.1939
19-11-2020,2042.6306
18-11-2020,2040.9236
17-11-2020,2039.5717
13-11-2020,2038.4251
12-11-2020,2037.3015
11-11-2020,2035.595
10-11-2020,2035.3755
09-11-2020,2035.1293
06-11-2020,2034.7626
05-11-2020,2033.9344
04-11-2020,2032.0268
03-11-2020,2031.3224
02-11-2020,2031.1349
29-10-2020,2030.3379
28-10-2020,2030.2114
27-10-2020,2030.5375
26-10-2020,2030.6225
23-10-2020,2029.7968
22-10-2020,2029.6964
21-10-2020,2029.7581
20-10-2020,2030.5532
19-10-2020,2028.7632
16-10-2020,2027.5839
15-10-2020,2027.9325
14-10-2020,2026.9867
13-10-2020,2026.4617
12-10-2020,2024.2879
09-10-2020,2023.8913
08-10-2020,2019.0712
07-10-2020,2017.545
06-10-2020,2016.3665
05-10-2020,2014.3502
01-10-2020,2013.0036
30-09-2020,2011.6457
29-09-2020,2010.025
28-09-2020,2010.3746
25-09-2020,2009.9169
24-09-2020,2010.0393
23-09-2020,2009.9796
22-09-2020,2009.8194
21-09-2020,2009.0694
18-09-2020,2007.7001
17-09-2020,2007.1995
16-09-2020,2006.9125
15-09-2020,2005.0717
14-09-2020,2005.7382
11-09-2020,2005.4301
10-09-2020,2006.152
09-09-2020,2006.7845
08-09-2020,2007.0716
07-09-2020,2011.6713
04-09-2020,2012.4871
03-09-2020,2011.6876
02-09-2020,2010.0539
01-09-2020,2009.9045
31-08-2020,2006.3043
28-08-2020,2000.0274
27-08-2020,2001.129
26-08-2020,2001.5789
25-08-2020,2002.4206
24-08-2020,2001.0028
21-08-2020,2003.3839
20-08-2020,2006.8348
19-08-2020,2005.293
18-08-2020,2004.833
17-08-2020,2004.3298
14-08-2020,2003.7918
13-08-2020,2004.6848
12-08-2020,2002.6137
11-08-2020,2002.4769
10-08-2020,2002.0614
07-08-2020,2001.9963
06-08-2020,2002.9294
05-08-2020,2004.6978
04-08-2020,2004.6115
03-08-2020,2003.933
