Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
24-11-2020,427.7666
23-11-2020,437.911
20-11-2020,438.6797
19-11-2020,437.1857
18-11-2020,441.7863
17-11-2020,444.2253
13-11-2020,443.6175
12-11-2020,440.3114
11-11-2020,440.9787
10-11-2020,440.507
09-11-2020,455.8151
06-11-2020,454.5897
05-11-2020,448.7867
04-11-2020,445.2282
03-11-2020,445.6438
02-11-2020,442.9533
29-10-2020,439.1534
28-10-2020,443.2088
27-10-2020,443.546
26-10-2020,444.0186
23-10-2020,445.0478
22-10-2020,446.7292
21-10-2020,446.0991
20-10-2020,442.9257
19-10-2020,444.1214
16-10-2020,443.5892
15-10-2020,439.835
14-10-2020,441.121
13-10-2020,445.6413
12-10-2020,444.1571
09-10-2020,443.0846
08-10-2020,439.2881
07-10-2020,438.9624
06-10-2020,443.9575
05-10-2020,440.824
01-10-2020,440.7152
30-09-2020,440.4174
29-09-2020,439.8409
28-09-2020,432.0302
25-09-2020,439.368
24-09-2020,436.4519
23-09-2020,442.5137
22-09-2020,444.8717
21-09-2020,449.554
18-09-2020,454.2843
17-09-2020,452.3397
16-09-2020,458.404
15-09-2020,456.3816
14-09-2020,451.828
11-09-2020,452.7791
10-09-2020,452.206
09-09-2020,450.594
08-09-2020,447.7172
07-09-2020,448.5353
04-09-2020,450.707
03-09-2020,451.3615
02-09-2020,456.5602
01-09-2020,459.3282
31-08-2020,457.0751
28-08-2020,455.4542
27-08-2020,457.2228
26-08-2020,453.2183
25-08-2020,454.8695
24-08-2020,461.7451
21-08-2020,458.9862
20-08-2020,458.5933
19-08-2020,470.7241
18-08-2020,473.5293
17-08-2020,462.2713
14-08-2020,461.5738
13-08-2020,458.0204
12-08-2020,461.8267
11-08-2020,475.3126
10-08-2020,482.4709
07-08-2020,486.3527
06-08-2020,483.5035
05-08-2020,480.7489
04-08-2020,468.8808
03-08-2020,468.4283
31-07-2020,467.6822
30-07-2020,461.8918
29-07-2020,461.9387
28-07-2020,457.1446
27-07-2020,459.0742
24-07-2020,447.2955
23-07-2020,444.3396
22-07-2020,437.514
21-07-2020,432.2013
20-07-2020,430.5379
17-07-2020,429.6972
16-07-2020,430.9519
15-07-2020,432.2879
14-07-2020,429.5382
13-07-2020,430.4133
10-07-2020,430.6035
09-07-2020,430.5837
08-07-2020,427.9895
07-07-2020,422.2303
06-07-2020,421.1302
03-07-2020,421.7021
02-07-2020,424.9923
01-07-2020,428.7116
30-06-2020,424.9576
29-06-2020,423.7379
26-06-2020,421.9048
25-06-2020,421.9457
24-06-2020,425.9037
23-06-2020,422.1353
22-06-2020,421.2898
19-06-2020,418.4815
18-06-2020,418.6751
17-06-2020,415.6965
16-06-2020,416.2986
15-06-2020,413.792
12-06-2020,418.1074
11-06-2020,416.4082
10-06-2020,411.8909
09-06-2020,409.8938
08-06-2020,407.306
05-06-2020,410.2206
04-06-2020,409.9674
03-06-2020,411.3388
02-06-2020,417.3375
01-06-2020,415.6837
29-05-2020,414.5461
28-05-2020,414.9445
27-05-2020,410.6597
26-05-2020,414.324
22-05-2020,417.087
21-05-2020,417.1921
20-05-2020,420.3078
19-05-2020,417.173
18-05-2020,423.0477
15-05-2020,416.6333
14-05-2020,411.4295
13-05-2020,407.7071
12-05-2020,410.3861
11-05-2020,408.8913
08-05-2020,405.6385
06-05-2020,409.552
05-05-2020,408.4447
04-05-2020,411.0313
30-04-2020,410.5711
29-04-2020,412.1302
28-04-2020,415.7794
27-04-2020,416.5554
24-04-2020,420.0696
23-04-2020,418.4293
22-04-2020,416.7
21-04-2020,410.8343
20-04-2020,412.108
17-04-2020,413.453
16-04-2020,418.8289
15-04-2020,415.3779
13-04-2020,401.8562
09-04-2020,402.3093
08-04-2020,397.746
07-04-2020,397.3013
03-04-2020,388.2917
31-03-2020,384.9083
30-03-2020,388.5436
27-03-2020,385.597
26-03-2020,387.1671
24-03-2020,383.2866
23-03-2020,359.9184
20-03-2020,358.3681
19-03-2020,355.4129
18-03-2020,356.9901
17-03-2020,349.4557
16-03-2020,357.1347
13-03-2020,373.5278
12-03-2020,386.2621
11-03-2020,389.9558
09-03-2020,393.5346
06-03-2020,394.3264
05-03-2020,383.5122
04-03-2020,384.2518
03-03-2020,371.8069
02-03-2020,371.14
28-02-2020,374.277
27-02-2020,376.197
26-02-2020,377.0092
25-02-2020,379.2085
24-02-2020,381.9487
20-02-2020,366.095
18-02-2020,360.8526
17-02-2020,359.3949
14-02-2020,358.4517
13-02-2020,358.6359
12-02-2020,356.0725
11-02-2020,356.1402
10-02-2020,357.7371
07-02-2020,356.3615
06-02-2020,355.4132
05-02-2020,352.9738
04-02-2020,356.1807
03-02-2020,359.6684
31-01-2020,359.7718
30-01-2020,358.6593
29-01-2020,355.5589
28-01-2020,357.8448
27-01-2020,358.9182
24-01-2020,353.9631
23-01-2020,352.4338
22-01-2020,353.0777
21-01-2020,352.6213
20-01-2020,352.6758
17-01-2020,352.088
16-01-2020,351.519
15-01-2020,350.736
14-01-2020,348.7673
13-01-2020,349.3556
10-01-2020,350.4183
09-01-2020,351.5731
08-01-2020,361.2224
07-01-2020,356.8701
06-01-2020,360.3529
03-01-2020,352.6884
02-01-2020,345.6534
01-01-2020,346.2717
31-12-2019,345.8593
30-12-2019,342.6505
27-12-2019,341.9624
26-12-2019,338.2272
24-12-2019,337.9246
23-12-2019,336.4441
20-12-2019,334.9987
19-12-2019,334.4585
18-12-2019,335.2764
17-12-2019,334.7994
16-12-2019,334.4907
13-12-2019,332.2327
12-12-2019,332.8543
11-12-2019,332.0289
10-12-2019,331.4352
09-12-2019,332.3628
06-12-2019,335.2607
05-12-2019,336.3567
04-12-2019,337.5746
03-12-2019,335.7433
02-12-2019,333.6552
29-11-2019,333.4546
28-11-2019,333.167
27-11-2019,333.0004
26-11-2019,333.5087
25-11-2019,334.1037
22-11-2019,337.3542
21-11-2019,336.2607
20-11-2019,337.1226
19-11-2019,335.5226
18-11-2019,333.8036
15-11-2019,335.9111
14-11-2019,337.7289
13-11-2019,335.444
11-11-2019,334.8153
08-11-2019,334.2944
07-11-2019,336.9065
06-11-2019,337.2892
05-11-2019,339.8212
04-11-2019,340.5438
01-11-2019,341.5272
31-10-2019,340.5481
30-10-2019,338.0834
29-10-2019,337.5103
25-10-2019,340.8645
24-10-2019,337.615
23-10-2019,338.7115
22-10-2019,337.0931
18-10-2019,338.4848
17-10-2019,338.6746
16-10-2019,338.7005
15-10-2019,340.2891
14-10-2019,338.9258
11-10-2019,339.8114
10-10-2019,341.8864
09-10-2019,341.1889
07-10-2019,340.3753
04-10-2019,341.4066
03-10-2019,341.3843
01-10-2019,332.973
30-09-2019,337.0518
27-09-2019,339.4098
26-09-2019,341.8552
25-09-2019,347.1919
24-09-2019,344.2619
23-09-2019,344.458
20-09-2019,341.4685
19-09-2019,341.5167
18-09-2019,343.033
17-09-2019,344.5951
16-09-2019,343.9571
13-09-2019,342.2937
