Historical Mutual Fund NAV of Nippon India Gilt Securities Fund -Growth Plan - Growth Option,
scheme:- Nippon India Gilt Securities Fund -Growth Plan - Growth Option,
Start Date:- 04-07-2003,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
24-11-2020,30.239
23-11-2020,30.1968
20-11-2020,30.2061
19-11-2020,30.1877
18-11-2020,30.181
17-11-2020,30.1703
13-11-2020,30.146
12-11-2020,30.0956
11-11-2020,30.0817
10-11-2020,30.0802
09-11-2020,30.134
06-11-2020,30.1602
05-11-2020,30.1377
04-11-2020,30.0826
03-11-2020,30.0494
02-11-2020,30.0716
29-10-2020,30.0786
28-10-2020,30.1392
27-10-2020,30.1471
26-10-2020,30.1565
23-10-2020,30.1003
22-10-2020,30.0132
21-10-2020,30.0083
20-10-2020,29.9817
19-10-2020,29.9647
16-10-2020,29.948
15-10-2020,30.0242
14-10-2020,29.9979
13-10-2020,30.0043
12-10-2020,30.0082
09-10-2020,29.9155
08-10-2020,29.7105
07-10-2020,29.7105
06-10-2020,29.6838
05-10-2020,29.7147
01-10-2020,29.6982
30-09-2020,29.6468
29-09-2020,29.591
28-09-2020,29.5694
25-09-2020,29.615
24-09-2020,29.6591
23-09-2020,29.6583
22-09-2020,29.6422
21-09-2020,29.6266
18-09-2020,29.6161
17-09-2020,29.6186
16-09-2020,29.6798
15-09-2020,29.6284
14-09-2020,29.6131
11-09-2020,29.6019
10-09-2020,29.6199
09-09-2020,29.6744
08-09-2020,29.5757
07-09-2020,29.6888
04-09-2020,29.7972
03-09-2020,29.8366
02-09-2020,29.7752
01-09-2020,29.7552
31-08-2020,29.3695
28-08-2020,29.2893
27-08-2020,29.3011
26-08-2020,29.3004
25-08-2020,29.3596
24-08-2020,29.3212
21-08-2020,29.4858
20-08-2020,29.6948
19-08-2020,29.6767
18-08-2020,29.6927
17-08-2020,29.7058
14-08-2020,29.7179
13-08-2020,29.8042
12-08-2020,29.7932
11-08-2020,29.7739
10-08-2020,29.7577
07-08-2020,29.7613
06-08-2020,29.8191
05-08-2020,29.8901
04-08-2020,29.8746
03-08-2020,29.8543
31-07-2020,29.8572
30-07-2020,29.8637
29-07-2020,29.8578
28-07-2020,29.8409
27-07-2020,29.85
24-07-2020,29.8961
23-07-2020,29.8921
22-07-2020,29.8755
21-07-2020,29.8605
20-07-2020,29.8954
17-07-2020,29.8942
16-07-2020,29.8857
15-07-2020,29.858
14-07-2020,29.8369
13-07-2020,29.8971
10-07-2020,29.9028
09-07-2020,29.8251
08-07-2020,29.8089
07-07-2020,29.7683
06-07-2020,29.6678
03-07-2020,29.647
02-07-2020,29.6653
01-07-2020,29.6724
30-06-2020,29.5958
29-06-2020,29.5497
26-06-2020,29.5021
25-06-2020,29.4926
24-06-2020,29.4451
23-06-2020,29.4665
22-06-2020,29.4956
19-06-2020,29.4856
18-06-2020,29.4586
17-06-2020,29.3936
16-06-2020,29.3727
15-06-2020,29.4412
12-06-2020,29.4259
11-06-2020,29.4488
10-06-2020,29.4458
09-06-2020,29.4329
08-06-2020,29.4056
05-06-2020,29.3561
04-06-2020,29.369
03-06-2020,29.3387
02-06-2020,29.3401
01-06-2020,29.3131
29-05-2020,29.3798
28-05-2020,29.3973
27-05-2020,29.3946
26-05-2020,29.4054
