Historical Mutual Fund NAV of SBI Dynamic Bond Fund - Regular Plan - Growth,
scheme:- SBI Dynamic Bond Fund - Regular Plan - Growth,
Start Date:- 09-02-2004,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
24-11-2020,27.6739
23-11-2020,27.6347
20-11-2020,27.6469
19-11-2020,27.6487
18-11-2020,27.6381
17-11-2020,27.637
13-11-2020,27.6156
12-11-2020,27.5613
11-11-2020,27.5656
10-11-2020,27.5445
09-11-2020,27.6144
06-11-2020,27.6428
05-11-2020,27.6206
04-11-2020,27.5537
03-11-2020,27.5262
02-11-2020,27.5624
29-10-2020,27.559
28-10-2020,27.6337
27-10-2020,27.6484
26-10-2020,27.6567
23-10-2020,27.5275
22-10-2020,27.4324
21-10-2020,27.4252
20-10-2020,27.3984
19-10-2020,27.3844
16-10-2020,27.3618
15-10-2020,27.4376
14-10-2020,27.4215
13-10-2020,27.4277
12-10-2020,27.426
09-10-2020,27.3191
08-10-2020,27.0892
07-10-2020,27.0822
06-10-2020,27.0624
05-10-2020,27.0955
01-10-2020,27.0788
30-09-2020,27.0393
29-09-2020,26.9844
28-09-2020,26.9569
25-09-2020,27.0092
24-09-2020,27.0506
23-09-2020,27.0446
22-09-2020,27.0399
21-09-2020,27.0367
18-09-2020,27.0247
17-09-2020,27.0456
16-09-2020,27.1068
15-09-2020,27.065
14-09-2020,27.063
11-09-2020,27.0415
10-09-2020,27.0698
09-09-2020,27.1084
08-09-2020,27.0252
07-09-2020,27.1519
04-09-2020,27.2573
03-09-2020,27.2981
02-09-2020,27.2565
01-09-2020,27.2132
31-08-2020,26.7514
28-08-2020,26.6606
27-08-2020,26.6676
26-08-2020,26.6498
25-08-2020,26.7081
24-08-2020,26.6551
21-08-2020,26.8602
20-08-2020,27.0753
19-08-2020,27.0687
18-08-2020,27.0878
17-08-2020,27.0951
14-08-2020,27.1051
13-08-2020,27.1891
12-08-2020,27.184
11-08-2020,27.1489
10-08-2020,27.1455
07-08-2020,27.1478
06-08-2020,27.1979
05-08-2020,27.2699
04-08-2020,27.2573
03-08-2020,27.231
31-07-2020,27.2331
30-07-2020,27.2472
29-07-2020,27.2395
28-07-2020,27.2133
27-07-2020,27.2167
24-07-2020,27.2654
23-07-2020,27.2685
22-07-2020,27.2513
21-07-2020,27.2285
20-07-2020,27.2598
17-07-2020,27.2507
16-07-2020,27.244
15-07-2020,27.2195
14-07-2020,27.2026
13-07-2020,27.2643
10-07-2020,27.2789
09-07-2020,27.2237
08-07-2020,27.2162
07-07-2020,27.1715
06-07-2020,27.085
03-07-2020,27.0467
02-07-2020,27.0619
01-07-2020,27.0691
30-06-2020,26.984
29-06-2020,26.9478
26-06-2020,26.9306
25-06-2020,26.9247
24-06-2020,26.8888
23-06-2020,26.9082
22-06-2020,26.9229
19-06-2020,26.9278
18-06-2020,26.9231
17-06-2020,26.8652
16-06-2020,26.8509
15-06-2020,26.9285
12-06-2020,26.9235
11-06-2020,26.9453
10-06-2020,26.9342
09-06-2020,26.9284
08-06-2020,26.8827
05-06-2020,26.8414
04-06-2020,26.8506
03-06-2020,26.8355
02-06-2020,26.8329
01-06-2020,26.8225
29-05-2020,26.8864
28-05-2020,26.9087
27-05-2020,26.8983
26-05-2020,26.9026
22-05-2020,26.8963
21-05-2020,26.733
20-05-2020,26.6946
19-05-2020,26.7074
18-05-2020,26.6473
15-05-2020,26.6074
14-05-2020,26.6117
13-05-2020,26.5795
12-05-2020,26.5236
11-05-2020,26.5204
08-05-2020,26.7754
06-05-2020,26.6784
05-05-2020,26.5708
04-05-2020,26.4458
30-04-2020,26.3663
29-04-2020,26.3309
28-04-2020,26.3394
27-04-2020,26.357
24-04-2020,26.3647
23-04-2020,26.5746
22-04-2020,26.2687
21-04-2020,26.2794
20-04-2020,26.2208
17-04-2020,25.9675
16-04-2020,25.8145
15-04-2020,25.754
13-04-2020,25.6464
09-04-2020,25.5729
08-04-2020,25.5514
07-04-2020,25.6768
03-04-2020,25.8617
31-03-2020,26.0328
30-03-2020,25.9069
27-03-2020,26.0125
26-03-2020,25.6485
24-03-2020,25.5051
23-03-2020,25.4342
20-03-2020,25.6596
19-03-2020,25.382
18-03-2020,25.6555
17-03-2020,25.7374
16-03-2020,25.8214
13-03-2020,25.6919
12-03-2020,25.9049
11-03-2020,26.0992
09-03-2020,26.2145
06-03-2020,26.0819
05-03-2020,25.9981
04-03-2020,26.0001
03-03-2020,25.8355
02-03-2020,25.8437
28-02-2020,25.7879
27-02-2020,25.7888
26-02-2020,25.8463
25-02-2020,25.8035
24-02-2020,25.8155
20-02-2020,25.7404
18-02-2020,25.7817
17-02-2020,25.7951
14-02-2020,25.7891
13-02-2020,25.7
12-02-2020,25.6164
11-02-2020,25.6156
10-02-2020,25.6279
07-02-2020,25.603
06-02-2020,25.5268
05-02-2020,25.3786
04-02-2020,25.3708
03-02-2020,25.367
31-01-2020,25.2668
30-01-2020,25.2865
29-01-2020,25.2829
28-01-2020,25.2853
27-01-2020,25.2827
24-01-2020,25.2603
23-01-2020,25.2481
22-01-2020,25.2271
21-01-2020,25.2134
20-01-2020,25.2059
17-01-2020,25.1988
16-01-2020,25.1838
15-01-2020,25.1688
14-01-2020,25.1578
13-01-2020,25.18
10-01-2020,25.1736
09-01-2020,25.1962
08-01-2020,25.1784
07-01-2020,25.1734
06-01-2020,25.1585
03-01-2020,25.1921
02-01-2020,25.1851
01-01-2020,25.1772
31-12-2019,25.1426
30-12-2019,25.1423
27-12-2019,25.1512
26-12-2019,25.1229
24-12-2019,25.1207
23-12-2019,25.1232
20-12-2019,25.0787
19-12-2019,24.9203
18-12-2019,24.933
17-12-2019,24.8881
16-12-2019,24.8496
13-12-2019,24.8446
12-12-2019,24.8478
11-12-2019,24.8518
10-12-2019,24.8754
09-12-2019,24.888
06-12-2019,24.8848
05-12-2019,24.905
04-12-2019,25.0211
03-12-2019,25.0063
02-12-2019,24.9826
29-11-2019,24.9879
28-11-2019,24.9882
27-11-2019,24.9668
26-11-2019,24.9624
25-11-2019,24.9685
22-11-2019,24.9325
21-11-2019,24.9222
20-11-2019,24.94
19-11-2019,24.9098
18-11-2019,24.8926
15-11-2019,24.8582
14-11-2019,24.8381
13-11-2019,24.8192
11-11-2019,24.7759
08-11-2019,24.7835
07-11-2019,24.8009
06-11-2019,24.7988
05-11-2019,24.7899
04-11-2019,24.8013
01-11-2019,24.8018
31-10-2019,24.7814
30-10-2019,24.7538
29-10-2019,24.734
25-10-2019,24.723
24-10-2019,24.714
23-10-2019,24.7029
22-10-2019,24.6851
18-10-2019,24.6693
17-10-2019,24.6585
16-10-2019,24.6797
15-10-2019,24.6735
14-10-2019,24.664
11-10-2019,24.6287
10-10-2019,24.6487
09-10-2019,24.6583
07-10-2019,24.6394
04-10-2019,24.6298
03-10-2019,24.6693
01-10-2019,24.6227
30-09-2019,24.5816
27-09-2019,24.54
26-09-2019,24.5411
25-09-2019,24.519
24-09-2019,24.5087
23-09-2019,24.5289
20-09-2019,24.4917
19-09-2019,24.6995
18-09-2019,24.7023
17-09-2019,24.5737
16-09-2019,24.5975
13-09-2019,24.659
12-09-2019,24.6249
11-09-2019,24.6197
09-09-2019,24.7097
06-09-2019,24.6663
05-09-2019,24.6739
04-09-2019,24.6917
03-09-2019,24.6944
30-08-2019,24.6314
29-08-2019,24.63
28-08-2019,24.6297
27-08-2019,24.66
26-08-2019,24.6869
23-08-2019,24.5613
22-08-2019,24.5605
21-08-2019,24.5244
20-08-2019,24.4923
19-08-2019,24.4464
16-08-2019,24.4732
14-08-2019,24.3682
13-08-2019,24.4983
09-08-2019,24.5411
08-08-2019,24.6613
07-08-2019,24.6477
06-08-2019,24.617
05-08-2019,24.5574
02-08-2019,24.5918
01-08-2019,24.5328
31-07-2019,24.5711
30-07-2019,24.5297
29-07-2019,24.5041
26-07-2019,24.3751
25-07-2019,24.3724
24-07-2019,24.4393
23-07-2019,24.4225
22-07-2019,24.4832
19-07-2019,24.539
18-07-2019,24.5358
17-07-2019,24.549
16-07-2019,24.6121
15-07-2019,24.5106
12-07-2019,24.4428
11-07-2019,24.4215
10-07-2019,24.3254
09-07-2019,24.24
08-07-2019,24.2462
05-07-2019,24.0727
04-07-2019,23.9657
03-07-2019,23.9089
02-07-2019,23.8694
01-07-2019,23.8292
28-06-2019,23.8309
27-06-2019,23.7996
26-06-2019,23.7633
25-06-2019,23.8116
24-06-2019,23.8525
21-06-2019,23.8432
20-06-2019,23.9425
19-06-2019,23.8696
18-06-2019,23.852
17-06-2019,23.7373
14-06-2019,23.7199
13-06-2019,23.6382
12-06-2019,23.6208
11-06-2019,23.5772
10-06-2019,23.5538
07-06-2019,23.5966
06-06-2019,23.6383
04-06-2019,23.541
03-06-2019,23.5515
31-05-2019,23.4772
30-05-2019,23.3632
29-05-2019,23.3763
28-05-2019,23.3578
27-05-2019,23.3169
24-05-2019,23.2082
23-05-2019,23.177
22-05-2019,23.115
21-05-2019,23.0863
20-05-2019,23.0908
17-05-2019,22.9889
16-05-2019,22.9725
15-05-2019,22.9549
14-05-2019,22.9604
13-05-2019,22.9255
10-05-2019,22.9056
09-05-2019,22.9028
08-05-2019,22.9016
07-05-2019,22.8853
06-05-2019,22.8726
03-05-2019,22.8526
02-05-2019,22.8493
30-04-2019,22.8363
26-04-2019,22.8072
25-04-2019,22.7885
24-04-2019,22.793
23-04-2019,22.7509
22-04-2019,22.7267
18-04-2019,22.7755
16-04-2019,22.785
15-04-2019,22.7682
12-04-2019,22.7777
11-04-2019,22.8116
10-04-2019,22.8257
09-04-2019,22.8121
08-04-2019,22.7896
05-04-2019,22.852
04-04-2019,22.8534
03-04-2019,22.9779
02-04-2019,22.9771
31-03-2019,22.8626
29-03-2019,22.8566
28-03-2019,22.8551
27-03-2019,22.791
26-03-2019,22.8002
25-03-2019,22.7945
22-03-2019,22.7078
20-03-2019,22.64
19-03-2019,22.5804
18-03-2019,22.6426
15-03-2019,22.5897
