Historical Mutual Fund NAV of SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH,
scheme:- SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH,
Start Date:- 30-12-2000,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
24-11-2020,50.2543
23-11-2020,50.1655
20-11-2020,50.1884
19-11-2020,50.1941
18-11-2020,50.1732
17-11-2020,50.1511
13-11-2020,50.1146
12-11-2020,50.014
11-11-2020,50.0108
10-11-2020,49.9928
09-11-2020,50.1128
06-11-2020,50.1676
05-11-2020,50.1224
04-11-2020,49.9975
03-11-2020,49.9361
02-11-2020,49.9902
29-10-2020,50.0069
28-10-2020,50.1345
27-10-2020,50.1637
26-10-2020,50.1673
23-10-2020,49.9496
22-10-2020,49.7469
21-10-2020,49.7361
20-10-2020,49.6863
19-10-2020,49.6555
16-10-2020,49.6065
15-10-2020,49.7592
14-10-2020,49.7231
13-10-2020,49.738
12-10-2020,49.7623
09-10-2020,49.5629
08-10-2020,49.1119
07-10-2020,49.1065
06-10-2020,49.074
05-10-2020,49.1302
01-10-2020,49.0959
30-09-2020,49.0459
29-09-2020,48.9392
28-09-2020,48.9015
25-09-2020,48.9923
24-09-2020,49.0802
23-09-2020,49.0636
22-09-2020,49.0595
21-09-2020,49.049
18-09-2020,49.0277
17-09-2020,49.0844
16-09-2020,49.1835
15-09-2020,49.1177
14-09-2020,49.1098
11-09-2020,49.0618
10-09-2020,49.1063
09-09-2020,49.184
08-09-2020,49.0472
07-09-2020,49.277
04-09-2020,49.4503
03-09-2020,49.5298
02-09-2020,49.4419
01-09-2020,49.3825
31-08-2020,48.5875
28-08-2020,48.436
27-08-2020,48.4426
26-08-2020,48.4117
25-08-2020,48.5126
24-08-2020,48.4015
21-08-2020,48.7536
20-08-2020,49.1525
19-08-2020,49.1426
18-08-2020,49.1737
17-08-2020,49.1921
14-08-2020,49.2095
13-08-2020,49.3537
12-08-2020,49.3387
11-08-2020,49.277
10-08-2020,49.2644
07-08-2020,49.2597
06-08-2020,49.3603
05-08-2020,49.5065
04-08-2020,49.4833
03-08-2020,49.4357
31-07-2020,49.4352
30-07-2020,49.4547
29-07-2020,49.4458
28-07-2020,49.4003
27-07-2020,49.406
24-07-2020,49.4843
23-07-2020,49.4779
22-07-2020,49.4495
21-07-2020,49.4018
20-07-2020,49.4525
17-07-2020,49.4438
16-07-2020,49.4319
15-07-2020,49.3861
14-07-2020,49.3459
13-07-2020,49.4492
10-07-2020,49.4627
09-07-2020,49.3604
08-07-2020,49.3412
07-07-2020,49.2666
06-07-2020,49.1176
03-07-2020,49.0565
02-07-2020,49.0837
01-07-2020,49.091
30-06-2020,48.9391
29-06-2020,48.8474
26-06-2020,48.8031
25-06-2020,48.8075
24-06-2020,48.742
23-06-2020,48.8051
22-06-2020,48.8615
19-06-2020,48.8661
18-06-2020,48.8654
17-06-2020,48.7577
16-06-2020,48.7166
15-06-2020,48.8834
12-06-2020,48.8747
11-06-2020,48.9249
10-06-2020,48.9049
09-06-2020,48.8929
08-06-2020,48.824
05-06-2020,48.7314
04-06-2020,48.7666
03-06-2020,48.7355
02-06-2020,48.7429
01-06-2020,48.7246
29-05-2020,48.8413
28-05-2020,48.8862
27-05-2020,48.8662
26-05-2020,48.8554
22-05-2020,48.8113
21-05-2020,48.4994
20-05-2020,48.4268
19-05-2020,48.4327
18-05-2020,48.3062
15-05-2020,48.199
14-05-2020,48.1967
13-05-2020,48.1447
12-05-2020,47.9981
11-05-2020,48.0138
08-05-2020,48.5486
06-05-2020,48.3404
05-05-2020,48.132
04-05-2020,47.8839
30-04-2020,47.731
29-04-2020,47.6643
28-04-2020,47.6715
27-04-2020,47.6796
24-04-2020,47.6945
23-04-2020,48.0884
22-04-2020,47.4393
21-04-2020,47.4643
20-04-2020,47.4159
17-04-2020,46.881
16-04-2020,46.6408
15-04-2020,46.5487
13-04-2020,46.3272
09-04-2020,46.1768
08-04-2020,46.1656
07-04-2020,46.3072
03-04-2020,46.6086
31-03-2020,46.9486
30-03-2020,46.7161
27-03-2020,46.931
26-03-2020,46.5295
24-03-2020,46.2407
23-03-2020,46.1247
20-03-2020,46.5325
19-03-2020,45.9616
18-03-2020,46.445
17-03-2020,46.5295
16-03-2020,46.6634
13-03-2020,46.3651
12-03-2020,46.7579
11-03-2020,47.0774
09-03-2020,47.3188
06-03-2020,47.008
05-03-2020,46.8293
04-03-2020,46.8347
03-03-2020,46.4939
02-03-2020,46.5231
28-02-2020,46.4223
27-02-2020,46.4119
26-02-2020,46.5018
25-02-2020,46.4223
24-02-2020,46.4434
20-02-2020,46.2922
18-02-2020,46.3841
17-02-2020,46.4062
14-02-2020,46.4286
13-02-2020,46.2293
12-02-2020,46.0482
11-02-2020,46.0417
10-02-2020,46.0567
07-02-2020,46.0041
06-02-2020,45.9126
05-02-2020,45.6405
04-02-2020,45.6323
03-02-2020,45.6209
31-01-2020,45.3364
30-01-2020,45.3882
29-01-2020,45.3717
28-01-2020,45.3594
