Historical Mutual Fund NAV of SBI-ETF Gold,
scheme:- SBI-ETF Gold,
Start Date:- 28-04-2009,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
24-11-2020,4390.1275
23-11-2020,4494.5823
20-11-2020,4502.4834
19-11-2020,4487.1061
18-11-2020,4534.4757
17-11-2020,4559.5805
13-11-2020,4553.3232
12-11-2020,4519.2886
11-11-2020,4526.141
10-11-2020,4521.2751
09-11-2020,4678.8008
06-11-2020,4666.184
05-11-2020,4606.4526
04-11-2020,4569.8532
03-11-2020,4574.0969
02-11-2020,4546.3947
30-10-2020,4504.9892
29-10-2020,4507.2536
28-10-2020,4548.9707
27-10-2020,4552.4352
26-10-2020,4557.2913
23-10-2020,4567.8577
22-10-2020,4585.1679
21-10-2020,4578.6563
20-10-2020,4545.9755
19-10-2020,4558.2336
16-10-2020,4552.7404
15-10-2020,4514.0956
14-10-2020,4527.3447
13-10-2020,4573.8409
12-10-2020,4558.5455
09-10-2020,4547.4972
08-10-2020,4508.4459
07-10-2020,4505.1041
06-10-2020,4556.4908
05-10-2020,4524.2249
01-10-2020,4523.0894
30-09-2020,4520.067
29-09-2020,4514.1545
28-09-2020,4433.7661
25-09-2020,4509.2962
24-09-2020,4479.2958
23-09-2020,4541.6252
22-09-2020,4565.8446
21-09-2020,4613.9923
18-09-2020,4662.6354
17-09-2020,4642.6636
16-09-2020,4705.0739
15-09-2020,4683.4102
14-09-2020,4637.3927
11-09-2020,4647.1847
10-09-2020,4641.2643
09-09-2020,4624.6997
08-09-2020,4595.0765
07-09-2020,4603.4734
04-09-2020,4625.8208
03-09-2020,4632.5756
02-09-2020,4685.9996
01-09-2020,4714.4184
31-08-2020,4691.3289
28-08-2020,4674.6077
27-08-2020,4692.8724
26-08-2020,4651.6789
25-08-2020,4668.6419
24-08-2020,4739.3377
21-08-2020,4710.9484
20-08-2020,4706.9419
19-08-2020,4831.5474
18-08-2020,4860.4085
17-08-2020,4744.6714
14-08-2020,4737.4864
13-08-2020,4700.9643
12-08-2020,4740.1312
11-08-2020,4878.9024
10-08-2020,4952.5427
07-08-2020,4992.4683
06-08-2020,4963.1484
05-08-2020,4934.8501
04-08-2020,4812.805
03-08-2020,4808.1613
31-07-2020,4800.4614
30-07-2020,4740.9358
29-07-2020,4741.4311
28-07-2020,4692.1504
27-07-2020,4712.0227
24-07-2020,4590.8317
23-07-2020,4560.4094
22-07-2020,4490.1411
21-07-2020,4435.4651
20-07-2020,4418.3729
17-07-2020,4409.7152
16-07-2020,4422.6573
15-07-2020,4436.4084
14-07-2020,4408.1136
13-07-2020,4417.1048
10-07-2020,4419.0712
09-07-2020,4418.8279
08-07-2020,4392.1575
07-07-2020,4332.8691
06-07-2020,4321.5516
03-07-2020,4327.4536
02-07-2020,4361.3822
01-07-2020,4399.6417
30-06-2020,4361.0459
29-06-2020,4348.4948
26-06-2020,4329.6221
25-06-2020,4330.0546
24-06-2020,4370.8405
23-06-2020,4332.0249
22-06-2020,4323.3532
19-06-2020,4294.4266
18-06-2020,4296.4072
17-06-2020,4265.7267
16-06-2020,4271.9124
15-06-2020,4246.1043
12-06-2020,4290.5193
