Historical Mutual Fund NAV of Kotak Emerging Equity Scheme - Growth,
scheme:- Kotak Emerging Equity Scheme - Growth,
Start Date:- 30-03-2007,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,46.092
20-11-2020,45.613
19-11-2020,45.136
18-11-2020,45.158
17-11-2020,44.751
13-11-2020,43.868
12-11-2020,43.483
11-11-2020,43.323
10-11-2020,43.104
09-11-2020,43.328
06-11-2020,42.916
05-11-2020,42.787
04-11-2020,42.227
03-11-2020,42.026
02-11-2020,41.503
30-10-2020,41.556
29-10-2020,41.608
28-10-2020,41.542
27-10-2020,41.845
26-10-2020,41.372
23-10-2020,41.902
22-10-2020,41.853
21-10-2020,41.636
20-10-2020,41.451
19-10-2020,41.222
16-10-2020,41
15-10-2020,40.489
14-10-2020,41.062
13-10-2020,40.959
12-10-2020,40.998
09-10-2020,41.244
08-10-2020,41.252
07-10-2020,41.096
06-10-2020,41.26
05-10-2020,41.172
01-10-2020,41.24
30-09-2020,40.963
29-09-2020,41.002
28-09-2020,40.912
25-09-2020,40.032
24-09-2020,39.253
23-09-2020,40.055
22-09-2020,40.037
21-09-2020,40.649
18-09-2020,41.926
17-09-2020,42.009
16-09-2020,42.139
15-09-2020,41.897
14-09-2020,41.362
11-09-2020,39.814
10-09-2020,39.745
09-09-2020,39.333
08-09-2020,39.626
07-09-2020,40.121
04-09-2020,40.321
03-09-2020,40.848
02-09-2020,40.663
01-09-2020,40.228
31-08-2020,40.004
28-08-2020,41.492
27-08-2020,41.404
26-08-2020,41.283
25-08-2020,41.166
24-08-2020,41.187
21-08-2020,40.863
20-08-2020,40.352
19-08-2020,40.111
18-08-2020,39.682
17-08-2020,39.251
14-08-2020,39.053
13-08-2020,39.197
12-08-2020,38.908
11-08-2020,38.913
10-08-2020,39.029
07-08-2020,38.683
06-08-2020,38.51
05-08-2020,38.09
04-08-2020,37.911
03-08-2020,37.673
31-07-2020,37.543
30-07-2020,37.182
29-07-2020,37.359
28-07-2020,37.298
27-07-2020,37.018
24-07-2020,37.3
23-07-2020,37.48
22-07-2020,37.183
21-07-2020,37.159
20-07-2020,37.046
17-07-2020,36.72
16-07-2020,36.296
15-07-2020,36.11
14-07-2020,36.269
13-07-2020,36.463
10-07-2020,36.498
09-07-2020,36.672
08-07-2020,36.55
07-07-2020,36.835
06-07-2020,36.653
03-07-2020,36.104
02-07-2020,35.876
01-07-2020,35.485
30-06-2020,35.422
29-06-2020,35.416
26-06-2020,35.816
25-06-2020,35.778
24-06-2020,35.569
23-06-2020,35.972
22-06-2020,35.425
19-06-2020,34.965
18-06-2020,34.622
17-06-2020,34.36
16-06-2020,34.209
15-06-2020,34.068
12-06-2020,34.469
11-06-2020,34.214
10-06-2020,34.617
09-06-2020,34.458
08-06-2020,34.634
05-06-2020,34.585
04-06-2020,33.926
03-06-2020,33.888
02-06-2020,33.763
01-06-2020,33.403
29-05-2020,32.634
28-05-2020,32.276
27-05-2020,31.86
26-05-2020,31.747
22-05-2020,31.341
21-05-2020,31.318
20-05-2020,31.158
19-05-2020,30.663
18-05-2020,30.602
15-05-2020,31.7
14-05-2020,31.7
13-05-2020,31.906
12-05-2020,31.346
11-05-2020,31.657
08-05-2020,31.574
07-05-2020,31.7
06-05-2020,31.864
05-05-2020,31.754
04-05-2020,31.951
30-04-2020,33.359
29-04-2020,32.818
28-04-2020,32.532
27-04-2020,32.294
24-04-2020,31.682
23-04-2020,32.266
22-04-2020,32.021
21-04-2020,31.54
20-04-2020,32.424
17-04-2020,32.257
16-04-2020,31.762
15-04-2020,31.228
13-04-2020,30.606
09-04-2020,30.879
08-04-2020,29.981
07-04-2020,29.51
03-04-2020,28.33
01-04-2020,28.949
31-03-2020,29.537
30-03-2020,28.889
27-03-2020,29.54
26-03-2020,29.68
25-03-2020,28.643
24-03-2020,28.039
23-03-2020,28.09
20-03-2020,31.958
19-03-2020,30.938
18-03-2020,32.18
17-03-2020,33.856
16-03-2020,34.487
13-03-2020,36.409
12-03-2020,35.749
11-03-2020,38.59
09-03-2020,38.839
06-03-2020,40.21
05-03-2020,40.939
04-03-2020,40.85
03-03-2020,41.361
02-03-2020,40.774
28-02-2020,41.15
27-02-2020,42.144
26-02-2020,42.422
25-02-2020,42.83
24-02-2020,42.937
20-02-2020,43.597
19-02-2020,43.371
18-02-2020,42.891
17-02-2020,42.985
14-02-2020,43.278
13-02-2020,43.505
12-02-2020,43.632
11-02-2020,43.614
10-02-2020,43.514
07-02-2020,43.874
06-02-2020,43.737
05-02-2020,43.602
04-02-2020,43.114
03-02-2020,42.66
31-01-2020,43.229
30-01-2020,43.349
29-01-2020,43.665
28-01-2020,43.578
27-01-2020,43.675
24-01-2020,43.718
23-01-2020,43.286
22-01-2020,42.677
21-01-2020,42.707
20-01-2020,42.607
17-01-2020,42.732
16-01-2020,42.558
15-01-2020,42.263
14-01-2020,42.006
13-01-2020,41.697
10-01-2020,41.47
09-01-2020,41.28
08-01-2020,40.748
07-01-2020,40.525
06-01-2020,40.244
03-01-2020,40.97
02-01-2020,41.038
01-01-2020,40.584
31-12-2019,40.459
30-12-2019,40.343
27-12-2019,40.193
26-12-2019,39.887
24-12-2019,39.793
23-12-2019,39.813
20-12-2019,39.896
19-12-2019,39.867
18-12-2019,39.875
17-12-2019,39.903
16-12-2019,39.769
13-12-2019,39.899
12-12-2019,39.616
11-12-2019,39.41
10-12-2019,39.35
09-12-2019,39.769
06-12-2019,39.655
05-12-2019,39.929
04-12-2019,39.972
03-12-2019,39.86
02-12-2019,40.071
29-11-2019,40.164
28-11-2019,40.118
27-11-2019,39.879
26-11-2019,39.492
25-11-2019,39.663
22-11-2019,39.301
21-11-2019,39.383
20-11-2019,39.692
19-11-2019,39.488
18-11-2019,39.336
15-11-2019,39.249
14-11-2019,39.222
13-11-2019,39.093
11-11-2019,39.243
08-11-2019,39.04
07-11-2019,39.149
06-11-2019,38.895
05-11-2019,38.945
04-11-2019,39.352
01-11-2019,39.425
31-10-2019,39.32
30-10-2019,38.919
29-10-2019,38.726
25-10-2019,38.197
24-10-2019,38.313
23-10-2019,38.228
22-10-2019,38.211
18-10-2019,38.047
17-10-2019,37.727
16-10-2019,37.235
15-10-2019,37.292
14-10-2019,37.232
11-10-2019,37.135
10-10-2019,37.033
09-10-2019,37.339
07-10-2019,36.944
04-10-2019,37.103
03-10-2019,37.455
01-10-2019,37.554
30-09-2019,38.092
27-09-2019,38.471
26-09-2019,38.634
25-09-2019,38.288
24-09-2019,38.83
23-09-2019,38.891
20-09-2019,37.932
19-09-2019,35.915
18-09-2019,36.329
17-09-2019,36.21
16-09-2019,36.736
13-09-2019,36.831
12-09-2019,36.513
11-09-2019,36.525
09-09-2019,36.105
06-09-2019,35.859
05-09-2019,35.615
04-09-2019,35.473
03-09-2019,35.391
30-08-2019,35.878
29-08-2019,35.552
28-08-2019,35.789
27-08-2019,36
26-08-2019,35.748
23-08-2019,35.247
22-08-2019,35.083
21-08-2019,35.494
20-08-2019,35.817
19-08-2019,36.091
16-08-2019,35.902
14-08-2019,35.87
13-08-2019,35.589
09-08-2019,36.195
08-08-2019,35.928
07-08-2019,35.709
06-08-2019,35.84
05-08-2019,35.199
02-08-2019,35.68
01-08-2019,35.851
31-07-2019,36.098
30-07-2019,35.756
29-07-2019,36.336
26-07-2019,36.66
25-07-2019,36.481
24-07-2019,36.33
23-07-2019,36.799
22-07-2019,36.812
19-07-2019,36.956
18-07-2019,37.642
17-07-2019,38.009
16-07-2019,38.1
15-07-2019,37.914
12-07-2019,38.095
11-07-2019,37.973
10-07-2019,37.823
09-07-2019,38.121
08-07-2019,37.955
05-07-2019,38.6
04-07-2019,39.146
03-07-2019,39.101
02-07-2019,39.165
01-07-2019,39.085
28-06-2019,39.053
27-06-2019,38.931
26-06-2019,38.691
25-06-2019,38.512
24-06-2019,38.222
21-06-2019,38.421
20-06-2019,38.488
19-06-2019,38.076
18-06-2019,38.333
17-06-2019,38.218
14-06-2019,38.699
13-06-2019,38.988
12-06-2019,39.082
11-06-2019,39.364
10-06-2019,39.145
07-06-2019,39.007
06-06-2019,38.947
04-06-2019,39.376
03-06-2019,39.41
31-05-2019,39.205
30-05-2019,39.053
29-05-2019,38.915
28-05-2019,39.027
27-05-2019,39.01
24-05-2019,38.497
23-05-2019,38.003
22-05-2019,37.844
21-05-2019,37.857
20-05-2019,38.094
17-05-2019,36.792
16-05-2019,36.579
15-05-2019,36.483
14-05-2019,36.43
13-05-2019,36.358
10-05-2019,36.757
09-05-2019,36.655
08-05-2019,36.871
07-05-2019,37.097
06-05-2019,37.444
03-05-2019,37.834
02-05-2019,37.898
30-04-2019,38.119
26-04-2019,38.421
25-04-2019,38.472
24-04-2019,38.479
23-04-2019,38.431
22-04-2019,38.427
18-04-2019,38.924
16-04-2019,39.197
15-04-2019,38.915
12-04-2019,38.641
11-04-2019,38.507
10-04-2019,38.55
09-04-2019,38.519
08-04-2019,38.594
05-04-2019,38.847
04-04-2019,38.629
03-04-2019,38.633
02-04-2019,38.934
01-04-2019,38.908
29-03-2019,38.903
28-03-2019,38.502
27-03-2019,38.273
26-03-2019,37.954
25-03-2019,37.679
22-03-2019,37.931
20-03-2019,38.024
19-03-2019,38.181
18-03-2019,38.032
15-03-2019,38.172
14-03-2019,38.072
13-03-2019,38.17
12-03-2019,38.187
11-03-2019,38.029
08-03-2019,37.359
07-03-2019,37.367
06-03-2019,37.449
05-03-2019,37.266
01-03-2019,36.369
28-02-2019,35.965
27-02-2019,35.71
26-02-2019,35.545
25-02-2019,35.532
22-02-2019,35.135
21-02-2019,35.08
20-02-2019,34.852
19-02-2019,34.565
18-02-2019,34.482
15-02-2019,34.745
14-02-2019,34.885
13-02-2019,34.804
12-02-2019,34.889
11-02-2019,34.859
08-02-2019,35.337
07-02-2019,35.764
06-02-2019,35.616
05-02-2019,35.547
04-02-2019,35.744
01-02-2019,35.852
31-01-2019,35.688
30-01-2019,35.649
29-01-2019,35.523
28-01-2019,35.38
25-01-2019,35.953
24-01-2019,36.297
23-01-2019,36.372
22-01-2019,36.407
21-01-2019,36.517
18-01-2019,36.806
