Historical Mutual Fund NAV of Mirae Asset Emerging Bluechip Fund - Regular Plan - Growth Option,
scheme:- Mirae Asset Emerging Bluechip Fund - Regular Plan - Growth Option,
Start Date:- 09-07-2010,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,65.668
20-11-2020,65.322
19-11-2020,64.902
18-11-2020,65.564
17-11-2020,65.379
13-11-2020,64.391
12-11-2020,64.271
11-11-2020,64.303
10-11-2020,63.771
09-11-2020,63.46
06-11-2020,62.487
05-11-2020,62.166
04-11-2020,61.037
03-11-2020,60.716
02-11-2020,60.048
30-10-2020,59.523
29-10-2020,59.595
28-10-2020,59.872
27-10-2020,60.415
26-10-2020,59.815
23-10-2020,60.744
22-10-2020,60.32
21-10-2020,60.212
20-10-2020,59.896
19-10-2020,59.687
16-10-2020,59.042
15-10-2020,58.389
14-10-2020,59.724
13-10-2020,59.625
12-10-2020,59.677
09-10-2020,59.863
08-10-2020,59.493
07-10-2020,59.243
06-10-2020,59.168
05-10-2020,58.746
01-10-2020,58.537
30-09-2020,57.928
29-09-2020,58.029
28-09-2020,58.025
25-09-2020,56.677
24-09-2020,55.303
23-09-2020,56.848
22-09-2020,57.073
21-09-2020,57.595
18-09-2020,59.281
17-09-2020,59.269
16-09-2020,59.54
15-09-2020,59.284
14-09-2020,58.796
11-09-2020,57.996
10-09-2020,57.787
09-09-2020,57.055
08-09-2020,57.316
07-09-2020,57.739
04-09-2020,57.849
03-09-2020,58.909
02-09-2020,58.826
01-09-2020,58.428
31-08-2020,57.915
28-08-2020,59.663
27-08-2020,59.279
26-08-2020,59.27
25-08-2020,58.998
24-08-2020,58.696
21-08-2020,58.35
20-08-2020,58.079
19-08-2020,58.093
18-08-2020,57.881
17-08-2020,57.042
14-08-2020,56.798
13-08-2020,57.363
12-08-2020,57.067
11-08-2020,57.059
10-08-2020,56.776
07-08-2020,56.071
06-08-2020,55.773
05-08-2020,55.4
04-08-2020,55.16
03-08-2020,54.507
31-07-2020,54.935
30-07-2020,54.679
29-07-2020,54.971
28-07-2020,54.977
27-07-2020,54.629
24-07-2020,55.181
23-07-2020,55.495
22-07-2020,55.037
21-07-2020,55.067
20-07-2020,54.668
17-07-2020,54.27
16-07-2020,53.537
15-07-2020,52.868
14-07-2020,53.046
13-07-2020,53.877
10-07-2020,53.81
09-07-2020,53.989
08-07-2020,53.751
07-07-2020,54.186
06-07-2020,53.961
03-07-2020,53.051
02-07-2020,52.528
01-07-2020,52.093
30-06-2020,51.629
29-06-2020,51.565
26-06-2020,52.119
25-06-2020,51.797
24-06-2020,51.528
23-06-2020,52.392
22-06-2020,51.634
19-06-2020,51.024
18-06-2020,50.148
17-06-2020,49.249
16-06-2020,49.12
15-06-2020,48.766
12-06-2020,49.454
11-06-2020,49.077
10-06-2020,50.015
09-06-2020,49.578
08-06-2020,50.142
05-06-2020,49.813
04-06-2020,49.046
03-06-2020,49.063
02-06-2020,48.875
01-06-2020,48.374
29-05-2020,47.231
28-05-2020,46.833
27-05-2020,45.998
26-05-2020,45.036
22-05-2020,44.818
21-05-2020,45.136
20-05-2020,44.955
19-05-2020,44.216
18-05-2020,44.145
15-05-2020,45.771
14-05-2020,45.914
13-05-2020,46.7
12-05-2020,45.751
11-05-2020,45.902
08-05-2020,45.872
07-05-2020,45.885
06-05-2020,46.176
05-05-2020,45.853
04-05-2020,46.353
30-04-2020,48.76
29-04-2020,47.885
28-04-2020,47.325
27-04-2020,46.808
24-04-2020,45.91
23-04-2020,46.621
22-04-2020,46.001
21-04-2020,45.288
20-04-2020,46.87
17-04-2020,46.72
16-04-2020,45.465
15-04-2020,44.71
13-04-2020,44.575
09-04-2020,45.024
08-04-2020,43.34
07-04-2020,43.036
03-04-2020,40.051
01-04-2020,41.097
31-03-2020,42.261
30-03-2020,41.076
27-03-2020,42.236
26-03-2020,42.057
25-03-2020,40.417
24-03-2020,38.422
23-03-2020,37.648
20-03-2020,43.635
19-03-2020,41.866
18-03-2020,43.435
17-03-2020,45.4
16-03-2020,46.177
13-03-2020,49.636
12-03-2020,47.905
11-03-2020,52.057
09-03-2020,52.27
06-03-2020,54.773
05-03-2020,56.208
04-03-2020,56.185
03-03-2020,56.553
02-03-2020,55.496
28-02-2020,55.783
27-02-2020,57.626
26-02-2020,57.993
25-02-2020,58.595
24-02-2020,58.761
20-02-2020,59.583
19-02-2020,59.139
18-02-2020,58.374
17-02-2020,58.583
14-02-2020,58.66
13-02-2020,59.049
12-02-2020,59.085
11-02-2020,58.884
10-02-2020,58.606
07-02-2020,58.962
06-02-2020,58.827
05-02-2020,58.534
04-02-2020,57.88
03-02-2020,57.014
31-01-2020,58.23
30-01-2020,58.489
29-01-2020,58.996
28-01-2020,58.839
27-01-2020,59.151
24-01-2020,59.597
23-01-2020,59.218
22-01-2020,58.739
21-01-2020,58.886
20-01-2020,59.191
17-01-2020,59.713
16-01-2020,59.722
15-01-2020,59.342
14-01-2020,59.184
13-01-2020,58.817
10-01-2020,58.511
09-01-2020,58.232
08-01-2020,57.391
07-01-2020,57.337
06-01-2020,57.117
03-01-2020,58.232
02-01-2020,58.401
01-01-2020,57.81
31-12-2019,57.661
30-12-2019,57.771
27-12-2019,57.581
26-12-2019,56.963
24-12-2019,57.172
23-12-2019,57.265
20-12-2019,57.346
19-12-2019,57.27
18-12-2019,57.17
17-12-2019,57.072
16-12-2019,56.779
13-12-2019,56.958
12-12-2019,56.381
11-12-2019,55.997
10-12-2019,55.818
09-12-2019,56.326
06-12-2019,56.415
05-12-2019,56.916
04-12-2019,56.95
03-12-2019,56.659
02-12-2019,56.953
29-11-2019,57.185
28-11-2019,57.508
27-11-2019,56.985
26-11-2019,56.667
25-11-2019,56.868
22-11-2019,56.285
21-11-2019,56.388
20-11-2019,56.791
19-11-2019,56.411
18-11-2019,56.325
15-11-2019,56.202
14-11-2019,55.911
13-11-2019,55.693
11-11-2019,56.117
08-11-2019,56.105
07-11-2019,56.243
06-11-2019,55.998
05-11-2019,55.823
04-11-2019,56.092
01-11-2019,56.065
31-10-2019,55.993
30-10-2019,55.497
29-10-2019,55.314
