Historical Mutual Fund NAV of Motilal Oswal Nasdaq 100 ETF (MOFN100),
scheme:- Motilal Oswal Nasdaq 100 ETF (MOFN100),
Start Date:- 29-03-2011,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,863.0697
20-11-2020,869.7284
19-11-2020,862.8865
18-11-2020,871.7498
17-11-2020,874.3092
13-11-2020,862.4445
12-11-2020,864.499
11-11-2020,843.5894
10-11-2020,857.0536
09-11-2020,875.9906
06-11-2020,874.365
05-11-2020,859.2264
04-11-2020,820.0073
03-11-2020,806.5107
02-11-2020,805.3205
30-10-2020,826.1884
29-10-2020,804.6191
28-10-2020,835.1539
27-10-2020,832.1423
26-10-2020,841.3766
23-10-2020,840.0829
22-10-2020,840.9464
21-10-2020,838.6933
20-10-2020,833.4122
19-10-2020,849.3722
16-10-2020,853.98
15-10-2020,858.3863
14-10-2020,865.2971
13-10-2020,866.2567
12-10-2020,837.9497
09-10-2020,826.8711
08-10-2020,823.8926
07-10-2020,810.6207
06-10-2020,824.179
05-10-2020,807.1222
01-10-2020,822.9505
30-09-2020,816.7469
29-09-2020,818.0584
28-09-2020,803.6812
25-09-2020,787.1884
24-09-2020,778.6832
23-09-2020,803.2208
22-09-2020,789.2834
21-09-2020,784.9713
18-09-2020,797.8194
17-09-2020,808.6591
16-09-2020,823.1342
15-09-2020,810.1981
14-09-2020,797.1323
11-09-2020,800.7879
10-09-2020,820.0541
09-09-2020,799.0223
08-09-2020,834.2846
07-09-2020,830.8841
04-09-2020,845.9717
03-09-2020,888.123
02-09-2020,876.698
01-09-2020,867.1546
31-08-2020,859.2671
28-08-2020,861.7055
27-08-2020,868.5194
26-08-2020,850.2739
25-08-2020,842.4822
24-08-2020,845.9408
21-08-2020,842.7468
20-08-2020,828.0088
19-08-2020,831.8992
18-08-2020,825.7297
17-08-2020,817.5446
14-08-2020,817.5664
13-08-2020,815.5591
12-08-2020,793.75
11-08-2020,812.1844
10-08-2020,816.5726
07-08-2020,824.9505
06-08-2020,813.508
05-08-2020,814.3471
04-08-2020,812.7719
03-08-2020,797.2191
31-07-2020,784.0233
30-07-2020,779.0018
29-07-2020,770.3917
28-07-2020,779.6478
27-07-2020,766.3968
24-07-2020,773.2577
23-07-2020,792.4187
22-07-2020,790.2135
21-07-2020,800.1736
20-07-2020,779.9369
17-07-2020,780.7641
16-07-2020,785.7255
15-07-2020,787.3374
14-07-2020,778.8935
13-07-2020,796.4047
10-07-2020,787.8707
09-07-2020,781.862
08-07-2020,769.9219
07-07-2020,773.0493
06-07-2020,754.6869
03-07-2020,755.1753
02-07-2020,759.0757
01-07-2020,750.0655
30-06-2020,735.0441
29-06-2020,727.6105
26-06-2020,746.5447
25-06-2020,738.8625
24-06-2020,753.6021
23-06-2020,752.7612
22-06-2020,744.9803
19-06-2020,744.8936
18-06-2020,743.1588
17-06-2020,740.0236
16-06-2020,726.5235
15-06-2020,716.1036
12-06-2020,710.0713
11-06-2020,745.0685
10-06-2020,736.1125
09-06-2020,730.7937
08-06-2020,726.4547
05-06-2020,710.9399
04-06-2020,715.9963
03-06-2020,709.048
02-06-2020,708.0954
01-06-2020,705.7005
29-05-2020,697.3727
28-05-2020,698.1214
27-05-2020,694.2403
26-05-2020,698.0894
22-05-2020,691.9592
21-05-2020,701.0147
20-05-2020,687.3399
19-05-2020,692.6524
18-05-2020,678.3479
15-05-2020,671.7016
14-05-2020,662.0639
13-05-2020,669.9374
12-05-2020,688.2313
11-05-2020,680.9964
08-05-2020,674.3318
07-05-2020,665.8413
06-05-2020,660.5335
05-05-2020,652.6101
04-05-2020,644.7917
30-04-2020,663.894
29-04-2020,643.1419
28-04-2020,657.5297
27-04-2020,654.9104
24-04-2020,642.7922
23-04-2020,647.0394
22-04-2020,631.7737
21-04-2020,652.5784
20-04-2020,659.5612
17-04-2020,657.8934
16-04-2020,641.8748
15-04-2020,646.9241
13-04-2020,614.1784
09-04-2020,612.8052
08-04-2020,594.5239
07-04-2020,601.8247
03-04-2020,564.5608
01-04-2020,577.6355
31-03-2020,582.7451
30-03-2020,554.9406
27-03-2020,579.7601
26-03-2020,554.2839
25-03-2020,560.5599
24-03-2020,521.5977
23-03-2020,513.7734
20-03-2020,533.9444
19-03-2020,520.3001
18-03-2020,542.1726
17-03-2020,509.4361
16-03-2020,577.412
13-03-2020,526.726
12-03-2020,576.0016
11-03-2020,606.5564
09-03-2020,614.7843
06-03-2020,621.1764
05-03-2020,640.234
04-03-2020,615.4242
03-03-2020,630.8263
02-03-2020,596.667
28-02-2020,589.8235
27-02-2020,621.4072
26-02-2020,620.4384
25-02-2020,637.9772
24-02-2020,662.7453
20-02-2020,679.0494
19-02-2020,673.1386
18-02-2020,670.2033
17-02-2020,670.834
14-02-2020,668.5431
13-02-2020,669.7976
12-02-2020,662.427
11-02-2020,662.7703
10-02-2020,655.6149
07-02-2020,656.4929
06-02-2020,651.3963
05-02-2020,649.2781
04-02-2020,635.9429
03-02-2020,626.4769
31-01-2020,637.7786
30-01-2020,633.3094
29-01-2020,633.2479
28-01-2020,624.5078
27-01-2020,636.4944
24-01-2020,641.3205
23-01-2020,638.8927
22-01-2020,637.5394
21-01-2020,636.9194
20-01-2020,636.9405
17-01-2020,632.0582
16-01-2020,625.0172
15-01-2020,625.3216
14-01-2020,627.6565
13-01-2020,620.9797
10-01-2020,625.3365
09-01-2020,624.2707
08-01-2020,620.6418
07-01-2020,621.6867
06-01-2020,616.9006
03-01-2020,618.3783
02-01-2020,607.5035
01-01-2020,608.8577
31-12-2019,606.6652
30-12-2019,611.25
27-12-2019,611.4667
26-12-2019,605.4853
24-12-2019,604.6712
23-12-2019,602.9232
20-12-2019,599.3346
19-12-2019,594.4673
18-12-2019,594.3332
17-12-2019,594.2407
16-12-2019,586.9312
13-12-2019,585.6784
12-12-2019,581.1958
11-12-2019,578.476
10-12-2019,580.1965
09-12-2019,583.9187
06-12-2019,578.426
05-12-2019,579.4634
04-12-2019,577.861
03-12-2019,581.4297
02-12-2019,588.6504
29-11-2019,590.5094
28-11-2019,588.504
27-11-2019,585.41
26-11-2019,586.391
25-11-2019,579.1809
22-11-2019,579.2455
21-11-2019,580.9483
20-11-2019,583.7741
19-11-2019,583.9873
18-11-2019,582.775
15-11-2019,580.037
14-11-2019,581.1316
13-11-2019,577.4898
11-11-2019,574.482
08-11-2019,569.4308
07-11-2019,567.8291
06-11-2019,566.281
05-11-2019,566.9954
04-11-2019,563.941
01-11-2019,559.5516
31-10-2019,559.2266
30-10-2019,556.2421
29-10-2019,559.8227
25-10-2019,552.1909
24-10-2019,545.8287
23-10-2019,545.1345
22-10-2019,549.1242
18-10-2019,551.5843
17-10-2019,552.1338
16-10-2019,554.5744
15-10-2019,545.1485
14-10-2019,543.6957
11-10-2019,536.7611
10-10-2019,533.4464
09-10-2019,528.363
07-10-2019,536.5141
04-10-2019,528.5132
03-10-2019,523.9209
01-10-2019,535.9699
30-09-2019,528.9952
27-09-2019,537.5818
26-09-2019,540.9685
25-09-2019,534.3743
24-09-2019,541.1035
23-09-2019,541.643
20-09-2019,549.8855
19-09-2019,548.359
18-09-2019,552.6195
17-09-2019,548.6423
16-09-2019,546.2988
13-09-2019,549.5811
12-09-2019,551.5633
11-09-2019,548.2405
09-09-2019,549.5872
06-09-2019,551.2653
05-09-2019,543.0466
04-09-2019,537.5475
03-09-2019,539.9129
30-08-2019,539.2274
29-08-2019,531.2621
28-08-2019,527.7661
27-08-2019,532.3852
26-08-2019,522.0394
23-08-2019,540.1266
22-08-2019,539.9348
21-08-2019,536.2989
20-08-2019,537.9892
19-08-2019,527.9508
16-08-2019,520.814
14-08-2019,538.211
13-08-2019,525.9342
09-08-2019,532.6686
08-08-2019,522.0878
07-08-2019,519.5233
06-08-2019,511.5208
05-08-2019,522.2173
02-08-2019,525.5765
01-08-2019,526.5438
31-07-2019,533.9535
30-07-2019,535.4107
29-07-2019,538.4683
26-07-2019,533.901
25-07-2019,538.6514
24-07-2019,534.6479
23-07-2019,531.2216
22-07-2019,525.7044
19-07-2019,531.5877
18-07-2019,529.485
17-07-2019,531.2492
16-07-2019,532.662
