Historical Mutual Fund NAV of SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,
scheme:- SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,
Start Date:- 11-10-2004,
End Date:- 13-11-2020,
NAV Date,NAV (Rs)
13-11-2020,159.4421
12-11-2020,158.5936
11-11-2020,158.7128
10-11-2020,158.6611
09-11-2020,157.3364
06-11-2020,155.2594
05-11-2020,152.9882
04-11-2020,150.2654
03-11-2020,148.2937
02-11-2020,147.8914
30-10-2020,147.5161
29-10-2020,147.7329
28-10-2020,148.756
27-10-2020,149.6209
26-10-2020,147.1171
23-10-2020,147.8348
22-10-2020,147.3169
21-10-2020,146.3229
20-10-2020,146.0267
19-10-2020,146.4651
16-10-2020,145.315
15-10-2020,143.6164
14-10-2020,146.0956
13-10-2020,145.5689
12-10-2020,145.8152
09-10-2020,146.3733
08-10-2020,145.6698
07-10-2020,145.8795
06-10-2020,146.1567
05-10-2020,144.7329
01-10-2020,144.721
30-09-2020,143.1266
29-09-2020,143.2311
28-09-2020,142.9739
25-09-2020,140.218
24-09-2020,137.357
23-09-2020,141.0592
22-09-2020,141.4947
21-09-2020,143.4576
18-09-2020,147.2378
17-09-2020,147.8986
16-09-2020,149.0352
15-09-2020,148.6755
14-09-2020,147.5568
11-09-2020,147.2374
10-09-2020,146.8613
09-09-2020,145.981
08-09-2020,146.7233
07-09-2020,148.1588
04-09-2020,149.4154
03-09-2020,151.773
02-09-2020,151.7639
01-09-2020,150.5033
31-08-2020,149.0033
28-08-2020,153.4224
27-08-2020,152.4205
26-08-2020,151.8536
25-08-2020,151.5753
24-08-2020,150.642
21-08-2020,148.5286
20-08-2020,147.4125
19-08-2020,147.6393
18-08-2020,146.9911
17-08-2020,145.617
14-08-2020,144.843
13-08-2020,145.925
12-08-2020,144.9195
11-08-2020,144.821
10-08-2020,144.5777
07-08-2020,143.4431
06-08-2020,142.0748
05-08-2020,141.9241
04-08-2020,141.6241
03-08-2020,140.0776
31-07-2020,141.4258
30-07-2020,140.7283
29-07-2020,141.1576
28-07-2020,141.2373
27-07-2020,140.4406
24-07-2020,141.5823
23-07-2020,143.383
22-07-2020,142.2511
21-07-2020,142.3471
20-07-2020,141.9908
17-07-2020,140.513
16-07-2020,138.4279
15-07-2020,137.9868
14-07-2020,138.6989
