Historical Mutual Fund NAV of Nippon India Small Cap Fund - Growth Plan - Growth Option,
scheme:- Nippon India Small Cap Fund - Growth Plan - Growth Option,
Start Date:- 16-09-2010,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,45.5709
20-11-2020,45.0925
19-11-2020,44.6912
18-11-2020,44.7892
17-11-2020,44.403
13-11-2020,43.699
12-11-2020,43.2726
11-11-2020,42.808
10-11-2020,42.5159
09-11-2020,42.7517
06-11-2020,42.3319
05-11-2020,42.0706
04-11-2020,41.3108
03-11-2020,41.2399
02-11-2020,41.0704
30-10-2020,41.405
29-10-2020,41.3612
28-10-2020,41.4694
27-10-2020,41.7712
26-10-2020,41.5413
23-10-2020,41.8643
22-10-2020,41.4602
21-10-2020,41.1839
20-10-2020,41.2432
19-10-2020,41.2523
16-10-2020,40.9736
15-10-2020,40.6945
14-10-2020,41.3941
13-10-2020,41.1385
12-10-2020,41.1764
09-10-2020,41.4896
08-10-2020,41.4588
07-10-2020,41.8419
06-10-2020,42.2071
05-10-2020,42.1401
01-10-2020,42.2343
30-09-2020,42.1595
29-09-2020,42.0212
28-09-2020,42.0175
25-09-2020,41.1219
24-09-2020,40.3264
23-09-2020,41.225
22-09-2020,41.336
21-09-2020,41.7224
18-09-2020,43.4455
17-09-2020,43.6132
16-09-2020,43.7957
15-09-2020,43.5556
14-09-2020,42.8111
11-09-2020,40.9382
10-09-2020,40.8846
09-09-2020,40.2239
08-09-2020,40.6954
07-09-2020,41.0535
04-09-2020,41.1375
03-09-2020,41.5775
02-09-2020,41.3037
01-09-2020,40.7661
31-08-2020,40.583
28-08-2020,42.5393
27-08-2020,42.736
26-08-2020,42.7181
25-08-2020,42.2168
24-08-2020,42.0231
21-08-2020,41.0177
20-08-2020,40.3014
19-08-2020,40.0128
18-08-2020,39.5711
17-08-2020,39.1862
14-08-2020,38.8877
13-08-2020,39.2738
12-08-2020,38.7753
11-08-2020,38.647
10-08-2020,38.5967
07-08-2020,38.0502
06-08-2020,37.5916
05-08-2020,37.2943
04-08-2020,36.9724
03-08-2020,36.5244
31-07-2020,36.2065
30-07-2020,35.8807
29-07-2020,36.2137
28-07-2020,36.1524
27-07-2020,35.8686
24-07-2020,36.2341
23-07-2020,36.2813
22-07-2020,35.9844
21-07-2020,36.0457
20-07-2020,35.8782
17-07-2020,35.6115
