Historical Mutual Fund NAV of SBI Small Cap Fund - Regular Plan - Growth,
scheme:- SBI Small Cap Fund - Regular Plan - Growth,
Start Date:- 09-09-2009,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,65.2776
20-11-2020,64.7145
19-11-2020,64.3831
18-11-2020,64.1588
17-11-2020,63.4099
13-11-2020,62.1706
12-11-2020,61.4304
11-11-2020,61.0483
10-11-2020,60.892
09-11-2020,60.962
06-11-2020,60.2252
05-11-2020,59.8625
04-11-2020,59.2293
03-11-2020,58.8694
02-11-2020,58.5802
30-10-2020,58.6616
29-10-2020,58.5087
28-10-2020,58.7417
27-10-2020,58.8934
26-10-2020,58.7632
23-10-2020,59.015
22-10-2020,58.5673
21-10-2020,58.4187
20-10-2020,58.3764
19-10-2020,58.4498
16-10-2020,57.9914
15-10-2020,57.3242
14-10-2020,58.155
13-10-2020,57.6086
12-10-2020,57.5127
09-10-2020,58.0036
08-10-2020,58.1802
07-10-2020,58.7506
06-10-2020,58.898
05-10-2020,58.9837
01-10-2020,58.7656
30-09-2020,58.4857
29-09-2020,58.3297
28-09-2020,58.2722
25-09-2020,57.2848
24-09-2020,56.518
23-09-2020,57.4909
22-09-2020,57.5923
21-09-2020,58.642
18-09-2020,60.2569
17-09-2020,60.7714
16-09-2020,61.1644
15-09-2020,60.999
14-09-2020,60.372
11-09-2020,57.72
10-09-2020,57.7649
09-09-2020,56.8617
08-09-2020,57.5006
07-09-2020,57.9175
04-09-2020,57.8297
03-09-2020,58.3659
02-09-2020,58.2898
01-09-2020,57.1751
31-08-2020,57.2062
28-08-2020,59.665
27-08-2020,59.6629
26-08-2020,59.3101
25-08-2020,58.9055
24-08-2020,58.9211
21-08-2020,57.9985
20-08-2020,57.1769
19-08-2020,56.6902
18-08-2020,56.5011
17-08-2020,55.9885
14-08-2020,55.8491
13-08-2020,55.7195
12-08-2020,54.4149
11-08-2020,54.1467
10-08-2020,53.8999
07-08-2020,53.2164
06-08-2020,52.966
05-08-2020,52.3326
04-08-2020,51.9208
03-08-2020,51.4247
31-07-2020,50.7731
30-07-2020,50.5161
29-07-2020,50.6188
28-07-2020,50.7179
27-07-2020,50.9704
24-07-2020,51.5255
23-07-2020,51.4185
22-07-2020,51.0302
21-07-2020,50.9024
20-07-2020,50.4273
17-07-2020,50.1034
16-07-2020,49.8456
15-07-2020,50.0263
14-07-2020,49.8439
13-07-2020,50.1052
10-07-2020,50.476
09-07-2020,50.531
08-07-2020,50.0846
07-07-2020,50.4767
06-07-2020,50.3493
03-07-2020,49.5694
02-07-2020,49.1362
01-07-2020,48.7605
30-06-2020,48.5502
29-06-2020,48.6649
26-06-2020,49.1418
25-06-2020,48.8989
24-06-2020,48.9541
23-06-2020,49.2899
22-06-2020,48.9721
19-06-2020,48.1364
18-06-2020,47.4195
17-06-2020,46.8745
16-06-2020,46.6868
15-06-2020,46.9061
12-06-2020,46.7836
11-06-2020,46.5809
10-06-2020,47.2904
09-06-2020,47.071
08-06-2020,47.6006
05-06-2020,47.198
04-06-2020,46.7373
03-06-2020,46.8993
02-06-2020,46.2197
01-06-2020,45.4229
29-05-2020,44.0577
28-05-2020,43.3863
27-05-2020,42.8282
26-05-2020,42.7229
22-05-2020,42.5393
21-05-2020,42.8916
20-05-2020,42.5817
19-05-2020,42.0941
18-05-2020,42.2366
15-05-2020,43.2123
14-05-2020,43.1215
13-05-2020,43.7695
12-05-2020,42.9488
11-05-2020,43.2189
08-05-2020,43.3019
07-05-2020,43.655
06-05-2020,43.7941
05-05-2020,43.7628
04-05-2020,44.2127
30-04-2020,45.5101
29-04-2020,45.063
28-04-2020,44.6165
27-04-2020,44.3011
24-04-2020,44.1191
23-04-2020,44.8267
22-04-2020,44.5158
21-04-2020,44.0388
20-04-2020,45.0611
17-04-2020,44.1929
16-04-2020,43.3278
15-04-2020,43.0137
13-04-2020,42.7513
09-04-2020,43.1402
08-04-2020,42.2002
07-04-2020,41.6052
03-04-2020,40.2979
01-04-2020,40.3738
31-03-2020,40.8575
30-03-2020,39.809
27-03-2020,40.8191
26-03-2020,40.3103
25-03-2020,39.0073
24-03-2020,38.0581
23-03-2020,38.1066
20-03-2020,42.2027
19-03-2020,41.7586
18-03-2020,43.4331
17-03-2020,46.0723
16-03-2020,46.9613
13-03-2020,49.0483
12-03-2020,49.0541
11-03-2020,52.2905
09-03-2020,52.3886
06-03-2020,54.0127
05-03-2020,54.706
04-03-2020,54.2997
03-03-2020,55.1061
02-03-2020,54.8619
28-02-2020,54.8807
27-02-2020,56.3967
26-02-2020,56.468
25-02-2020,56.8729
24-02-2020,57.053
20-02-2020,57.595
19-02-2020,57.493
18-02-2020,56.8481
17-02-2020,57.3002
14-02-2020,57.4859
13-02-2020,57.4658
12-02-2020,57.4562
11-02-2020,57.4455
10-02-2020,57.1855
07-02-2020,57.5679
06-02-2020,57.3595
05-02-2020,57.3351
04-02-2020,57.0854
03-02-2020,56.2548
31-01-2020,57.0621
30-01-2020,57.1188
29-01-2020,57.4154
28-01-2020,57.3773
27-01-2020,57.2657
24-01-2020,57.1548
23-01-2020,56.5186
22-01-2020,56.2415
21-01-2020,56.1336
20-01-2020,56.3609
17-01-2020,56.2968
16-01-2020,55.6734
15-01-2020,55.1766
14-01-2020,54.8179
13-01-2020,54.7119
10-01-2020,54.4724
09-01-2020,54.2275
08-01-2020,53.6247
07-01-2020,53.8337
06-01-2020,53.3937
03-01-2020,54.2819
02-01-2020,54.017
01-01-2020,53.5447
31-12-2019,53.4756
30-12-2019,53.4671
27-12-2019,53.4449
26-12-2019,53.1844
24-12-2019,53.1279
23-12-2019,53.274
20-12-2019,53.3622
19-12-2019,53.031
18-12-2019,52.8683
17-12-2019,53.0442
16-12-2019,52.7456
13-12-2019,53.0333
12-12-2019,52.4967
11-12-2019,52.412
10-12-2019,52.596
09-12-2019,53.0484
06-12-2019,53.3575
05-12-2019,53.9275
04-12-2019,54.0162
03-12-2019,53.6612
02-12-2019,53.7547
29-11-2019,53.6961
28-11-2019,53.4758
27-11-2019,53.5525
26-11-2019,53.6478
25-11-2019,53.9381
22-11-2019,53.7753
21-11-2019,53.7473
20-11-2019,53.5753
19-11-2019,53.5687
18-11-2019,53.5362
15-11-2019,53.4681
14-11-2019,53.5786
13-11-2019,53.6502
11-11-2019,53.4591
08-11-2019,53.244
07-11-2019,53.6663
06-11-2019,53.5257
05-11-2019,53.8218
04-11-2019,54.2368
01-11-2019,53.7466
31-10-2019,53.4524
30-10-2019,53.0109
29-10-2019,52.9157
25-10-2019,52.2725
24-10-2019,52.3772
23-10-2019,52.292
22-10-2019,52.2435
18-10-2019,52.2694
17-10-2019,51.2571
16-10-2019,50.9469
15-10-2019,51.0604
14-10-2019,50.9836
11-10-2019,50.8554
10-10-2019,50.8055
09-10-2019,51.0766
07-10-2019,50.847
04-10-2019,50.9832
03-10-2019,51.4049
01-10-2019,51.6466
30-09-2019,52.1048
27-09-2019,52.3304
26-09-2019,52.3337
25-09-2019,51.923
24-09-2019,52.3977
23-09-2019,52.3071
20-09-2019,50.5456
19-09-2019,49.0039
18-09-2019,49.3294
17-09-2019,49.3794
16-09-2019,49.9648
13-09-2019,49.7724
12-09-2019,49.8172
11-09-2019,49.9119
09-09-2019,49.1625
06-09-2019,48.897
05-09-2019,48.5576
04-09-2019,48.4137
03-09-2019,48.2785
30-08-2019,48.6576
29-08-2019,48.4024
28-08-2019,48.7711
27-08-2019,48.8463
26-08-2019,48.3474
23-08-2019,47.6785
22-08-2019,47.4282
21-08-2019,47.8798
