Historical Mutual Fund NAV of Franklin India Corporate Debt Fund - Growth,
scheme:- Franklin India Corporate Debt Fund - Growth,
Start Date:- 23-06-1997,
End Date:- 13-11-2020,
NAV Date,NAV (Rs)
13-11-2020,76.1892
12-11-2020,76.1574
11-11-2020,76.0769
10-11-2020,76.0711
09-11-2020,76.0473
06-11-2020,76.0407
05-11-2020,76.004
04-11-2020,75.8754
03-11-2020,75.8621
02-11-2020,75.7885
29-10-2020,75.7535
28-10-2020,75.7549
27-10-2020,75.7946
26-10-2020,75.7404
23-10-2020,75.6627
22-10-2020,75.6305
21-10-2020,75.6117
20-10-2020,75.6165
19-10-2020,75.5663
16-10-2020,75.5042
15-10-2020,75.5141
14-10-2020,75.4549
13-10-2020,75.3916
12-10-2020,75.3309
09-10-2020,75.2964
08-10-2020,75.0684
07-10-2020,75.002
06-10-2020,74.897
05-10-2020,74.8719
01-10-2020,74.7935
30-09-2020,74.7265
29-09-2020,74.6663
28-09-2020,74.6879
25-09-2020,74.6802
24-09-2020,74.65
23-09-2020,74.6433
22-09-2020,74.6184
21-09-2020,74.5369
18-09-2020,74.482
17-09-2020,74.4492
16-09-2020,74.4374
15-09-2020,74.4096
14-09-2020,74.4666
11-09-2020,74.4305
10-09-2020,74.4091
09-09-2020,74.4293
08-09-2020,74.4172
07-09-2020,74.5493
04-09-2020,74.6108
03-09-2020,74.5314
02-09-2020,74.4795
01-09-2020,74.447
31-08-2020,74.2435
28-08-2020,73.9905
27-08-2020,74.0444
26-08-2020,73.9943
25-08-2020,74.0301
24-08-2020,73.9547
21-08-2020,74.059
20-08-2020,74.2432
19-08-2020,74.2288
18-08-2020,74.1443
17-08-2020,74.1394
14-08-2020,74.135
13-08-2020,74.1174
12-08-2020,74.0624
11-08-2020,74.0445
10-08-2020,74.0412
07-08-2020,74.0485
06-08-2020,74.0777
05-08-2020,74.1324
04-08-2020,74.1271
03-08-2020,74.1127
31-07-2020,74.0841
30-07-2020,73.9987
29-07-2020,73.9164
28-07-2020,73.9038
27-07-2020,73.9291
24-07-2020,73.9597
23-07-2020,73.9448
22-07-2020,73.9004
21-07-2020,73.9242
20-07-2020,73.8729
17-07-2020,73.8495
16-07-2020,73.9056
15-07-2020,73.9638
14-07-2020,73.8795
13-07-2020,73.9106
10-07-2020,74.0708
09-07-2020,73.9756
08-07-2020,73.9399
07-07-2020,73.8126
06-07-2020,73.7361
03-07-2020,73.6134
02-07-2020,73.5288
01-07-2020,73.4597
30-06-2020,73.404
29-06-2020,73.3386
26-06-2020,73.3099
25-06-2020,73.1159
24-06-2020,73.0178
23-06-2020,72.9775
22-06-2020,72.9521
19-06-2020,73.0256
18-06-2020,72.8028
17-06-2020,72.6361
16-06-2020,72.5297
15-06-2020,72.4758
12-06-2020,72.3942
11-06-2020,72.3714
10-06-2020,72.1646
09-06-2020,72.1408
08-06-2020,72.1175
05-06-2020,72.1375
04-06-2020,72.1362
03-06-2020,72.0784
02-06-2020,72.0221
01-06-2020,72.0431
29-05-2020,72.0839
28-05-2020,72.0917
27-05-2020,72.1184
26-05-2020,72.1464
22-05-2020,72.0853
21-05-2020,71.8186
20-05-2020,71.8238
19-05-2020,71.8768
18-05-2020,71.7455
15-05-2020,71.6632
14-05-2020,71.6434
13-05-2020,71.5942
12-05-2020,71.6481
11-05-2020,71.5259
08-05-2020,71.5203
06-05-2020,71.4453
05-05-2020,71.3184
04-05-2020,71.2341
30-04-2020,71.1159
29-04-2020,71.0533
28-04-2020,71.0727
27-04-2020,71.2952
24-04-2020,71.455
23-04-2020,71.7165
22-04-2020,71.6463
21-04-2020,71.5972
20-04-2020,71.6117
17-04-2020,71.5143
16-04-2020,71.1364
15-04-2020,70.9872
13-04-2020,70.9505
09-04-2020,70.9007
08-04-2020,70.882
07-04-2020,71.2628
03-04-2020,71.5255
31-03-2020,71.6384
30-03-2020,71.4906
27-03-2020,71.5333
26-03-2020,69.9755
24-03-2020,70.188
23-03-2020,70.2377
20-03-2020,70.5399
19-03-2020,70.2521
18-03-2020,70.8447
17-03-2020,71.2273
16-03-2020,71.5214
13-03-2020,71.5164
12-03-2020,71.7751
11-03-2020,72.3723
09-03-2020,72.4918
06-03-2020,72.707
05-03-2020,72.6604
04-03-2020,72.6663
03-03-2020,72.5075
02-03-2020,72.4965
28-02-2020,72.4636
27-02-2020,72.4882
26-02-2020,72.4848
25-02-2020,72.4251
24-02-2020,72.4351
20-02-2020,72.3626
18-02-2020,72.3122
17-02-2020,72.3299
14-02-2020,72.2767
13-02-2020,72.237
12-02-2020,72.157
11-02-2020,72.1958
10-02-2020,72.2
07-02-2020,72.0669
06-02-2020,71.8489
05-02-2020,71.5618
04-02-2020,71.4796
03-02-2020,71.4306
31-01-2020,71.2765
30-01-2020,71.2609
29-01-2020,71.2472
28-01-2020,71.2447
27-01-2020,71.1854
24-01-2020,71.1398
23-01-2020,71.1144
22-01-2020,71.0768
21-01-2020,70.9974
20-01-2020,70.9522
17-01-2020,70.8967
16-01-2020,70.8991
15-01-2020,70.8233
14-01-2020,70.7635
13-01-2020,70.8089
10-01-2020,70.7855
09-01-2020,70.816
08-01-2020,70.7614
07-01-2020,70.7337
06-01-2020,70.7144
03-01-2020,70.7152
02-01-2020,70.6122
01-01-2020,70.4989
31-12-2019,70.4314
30-12-2019,70.4272
27-12-2019,70.3867
26-12-2019,70.3452
24-12-2019,70.3303
23-12-2019,70.3127
20-12-2019,70.268
19-12-2019,70.1006
18-12-2019,70.096
17-12-2019,70.0343
16-12-2019,70.004
13-12-2019,69.9994
12-12-2019,70.0512
11-12-2019,70.0557
10-12-2019,70.1268
09-12-2019,70.1475
06-12-2019,70.1463
05-12-2019,70.2021
04-12-2019,70.474
03-12-2019,70.4249
02-12-2019,70.408
29-11-2019,70.3695
28-11-2019,70.3267
27-11-2019,70.2602
26-11-2019,70.2392
25-11-2019,70.1914
22-11-2019,70.1488
21-11-2019,70.1324
20-11-2019,70.107
19-11-2019,70.0704
18-11-2019,70.0511
15-11-2019,69.951
14-11-2019,69.9026
13-11-2019,69.8258
11-11-2019,69.7437
08-11-2019,69.7248
07-11-2019,69.7569
06-11-2019,69.7748
05-11-2019,69.7961
04-11-2019,69.7913
01-11-2019,69.755
31-10-2019,69.6617
30-10-2019,69.535
29-10-2019,69.4568
25-10-2019,69.3591
24-10-2019,69.3027
23-10-2019,69.27
22-10-2019,69.1553
18-10-2019,69.075
17-10-2019,69.0023
16-10-2019,68.9935
15-10-2019,68.9548
14-10-2019,68.9277
11-10-2019,68.8651
10-10-2019,68.855
09-10-2019,68.8152
07-10-2019,68.7713
04-10-2019,68.7142
03-10-2019,68.7735
01-10-2019,68.6705
30-09-2019,68.6164
27-09-2019,68.5004
26-09-2019,68.4818
25-09-2019,68.4531
24-09-2019,68.4498
23-09-2019,68.4557
20-09-2019,68.4032
19-09-2019,68.6991
18-09-2019,68.6648
17-09-2019,69.0019
16-09-2019,69.0425
13-09-2019,69.0368
12-09-2019,68.9718
11-09-2019,68.9657
09-09-2019,69.0069
06-09-2019,68.8943
05-09-2019,68.8747
04-09-2019,69.046
03-09-2019,69.0243
30-08-2019,68.8773
29-08-2019,68.8364
28-08-2019,68.8913
27-08-2019,68.8898
26-08-2019,68.93
23-08-2019,68.9139
22-08-2019,68.8548
21-08-2019,68.7881
20-08-2019,68.7002
19-08-2019,68.6219
16-08-2019,68.5866
14-08-2019,68.499
13-08-2019,68.6324
09-08-2019,68.5958
08-08-2019,68.6915
07-08-2019,68.5658
06-08-2019,68.536
05-08-2019,68.5358
02-08-2019,68.5743
01-08-2019,68.4295
31-07-2019,68.4062
30-07-2019,68.3687
29-07-2019,68.363
26-07-2019,68.1949
25-07-2019,68.1689
24-07-2019,68.322
23-07-2019,68.3326
22-07-2019,68.3665
19-07-2019,68.413
18-07-2019,68.4009
17-07-2019,68.3856
16-07-2019,68.4612
15-07-2019,68.3085
12-07-2019,68.1871
11-07-2019,68.1951
10-07-2019,68.1836
09-07-2019,68.1345
08-07-2019,68.0492
05-07-2019,67.9071
04-07-2019,67.7486
03-07-2019,67.674
02-07-2019,67.6492
01-07-2019,67.5941
28-06-2019,67.5959
27-06-2019,67.6366
26-06-2019,67.6095
25-06-2019,67.7843
24-06-2019,67.833
21-06-2019,67.8151
20-06-2019,67.9002
19-06-2019,67.8366
18-06-2019,67.843
17-06-2019,67.7366
14-06-2019,67.8429
13-06-2019,67.7514
12-06-2019,67.7293
11-06-2019,67.6619
10-06-2019,67.6706
07-06-2019,66.6511
06-06-2019,66.7544
04-06-2019,66.748
03-06-2019,66.7425
31-05-2019,66.6263
30-05-2019,66.4866
29-05-2019,66.5651
28-05-2019,66.5422
27-05-2019,66.5067
24-05-2019,66.5489
23-05-2019,66.4604
22-05-2019,66.3565
21-05-2019,66.3513
20-05-2019,66.3518
17-05-2019,66.2206
16-05-2019,66.1521
15-05-2019,66.1331
14-05-2019,66.1312
13-05-2019,66.1136
10-05-2019,66.0601
09-05-2019,66.0677
08-05-2019,66.0387
07-05-2019,66.0037
06-05-2019,65.9838
03-05-2019,65.9293
02-05-2019,66.0101
30-04-2019,65.9887
26-04-2019,65.9642
25-04-2019,65.9665
24-04-2019,66.0306
23-04-2019,65.9684
22-04-2019,65.959
18-04-2019,66.0531
16-04-2019,66.0646
15-04-2019,66.0804
12-04-2019,66.0782
11-04-2019,66.1173
10-04-2019,66.1448
09-04-2019,66.1132
08-04-2019,66.0524
05-04-2019,66.1125
04-04-2019,66.1351
03-04-2019,66.3044
02-04-2019,66.3691
29-03-2019,66.2756
28-03-2019,66.0663
27-03-2019,65.9401
26-03-2019,65.9285
25-03-2019,65.9269
22-03-2019,65.8551
20-03-2019,65.7921
19-03-2019,65.7542
18-03-2019,65.8373
15-03-2019,65.7901
14-03-2019,65.7932
13-03-2019,65.6156
12-03-2019,65.6384
11-03-2019,65.5544
08-03-2019,65.4453
07-03-2019,65.3893
06-03-2019,65.3152
05-03-2019,65.2786
01-03-2019,65.1631
28-02-2019,65.1007
27-02-2019,65.0589
26-02-2019,65.1442
25-02-2019,65.1618
22-02-2019,65.1362
21-02-2019,65.1184
20-02-2019,65.1141
18-02-2019,65.0517
15-02-2019,65.1141
14-02-2019,65.1439
13-02-2019,65.1747
12-02-2019,64.9814
11-02-2019,65.0037
08-02-2019,64.9568
07-02-2019,64.8784
06-02-2019,64.6959
05-02-2019,64.6547
04-02-2019,64.6476
01-02-2019,64.667
31-01-2019,64.8996
30-01-2019,65.0222
29-01-2019,65.0499
28-01-2019,65.0319
25-01-2019,64.9968
24-01-2019,64.9803
23-01-2019,64.9526
22-01-2019,64.9524
21-01-2019,64.8759
18-01-2019,64.9113
17-01-2019,64.9432
16-01-2019,64.9246
15-01-2019,64.9609
14-01-2019,64.9358
11-01-2019,64.8401
10-01-2019,64.7842
09-01-2019,64.7628
08-01-2019,64.7347
07-01-2019,64.6532
04-01-2019,64.5129
03-01-2019,64.5006
02-01-2019,64.5096
01-01-2019,64.4666
31-12-2018,64.4923
28-12-2018,64.4503
27-12-2018,64.4949
26-12-2018,64.474
24-12-2018,64.3869
21-12-2018,64.3858
20-12-2018,64.3691
19-12-2018,64.3359
18-12-2018,64.16
17-12-2018,64.1191
14-12-2018,64.0679
13-12-2018,64.0645
12-12-2018,64.0601
11-12-2018,63.5667
10-12-2018,63.5775
07-12-2018,63.6971
06-12-2018,63.7294
05-12-2018,63.6697
04-12-2018,63.5251
03-12-2018,63.4827
30-11-2018,63.4486
29-11-2018,63.3742
28-11-2018,63.3008
27-11-2018,63.241
26-11-2018,63.2219
22-11-2018,63.1525
20-11-2018,63.0927
19-11-2018,63.0638
16-11-2018,63.0114
15-11-2018,63.0051
14-11-2018,62.9706
13-11-2018,62.9381
12-11-2018,62.8848
09-11-2018,62.8491
06-11-2018,62.7849
05-11-2018,62.7676
02-11-2018,62.7121
01-11-2018,62.617
31-10-2018,62.5793
30-10-2018,62.591
29-10-2018,62.582
26-10-2018,62.5329
25-10-2018,62.532
24-10-2018,62.5354
23-10-2018,62.5302
22-10-2018,62.5178
19-10-2018,62.4839
17-10-2018,62.4527
16-10-2018,62.4722
15-10-2018,62.4296
12-10-2018,62.327
11-10-2018,62.2913
10-10-2018,62.2659
09-10-2018,62.2278
08-10-2018,62.3119
05-10-2018,62.2558
04-10-2018,62.0911
03-10-2018,62.2054
01-10-2018,62.2596
28-09-2018,62.1658
27-09-2018,62.0672
26-09-2018,61.9381
25-09-2018,61.9097
24-09-2018,61.9806
21-09-2018,62.1091
19-09-2018,62.2043
18-09-2018,62.2131
17-09-2018,62.2165
14-09-2018,62.2022
12-09-2018,62.153
11-09-2018,62.1771
10-09-2018,62.176
07-09-2018,62.2808
06-09-2018,62.2506
05-09-2018,62.246
04-09-2018,62.3215
03-09-2018,62.3965
31-08-2018,62.3666
30-08-2018,62.3823
29-08-2018,62.4131
28-08-2018,62.4007
27-08-2018,62.406
24-08-2018,62.3644
23-08-2018,62.3711
21-08-2018,62.3425
20-08-2018,62.3149
16-08-2018,62.2441
14-08-2018,62.26
13-08-2018,62.2495
10-08-2018,62.2574
09-08-2018,62.2309
08-08-2018,62.2148
07-08-2018,62.1927
06-08-2018,62.1855
03-08-2018,62.148
02-08-2018,62.1593
01-08-2018,62.121
31-07-2018,62.0475
30-07-2018,62.0198
27-07-2018,61.9896
26-07-2018,61.9762
25-07-2018,61.9509
24-07-2018,61.9397
23-07-2018,61.9358
20-07-2018,61.8939
19-07-2018,61.9119
18-07-2018,61.9061
17-07-2018,61.9015
16-07-2018,61.8403
13-07-2018,61.8327
12-07-2018,61.774
11-07-2018,61.7128
10-07-2018,61.6976
09-07-2018,61.6763
06-07-2018,61.6237
05-07-2018,61.6275
04-07-2018,61.6266
03-07-2018,61.5631
02-07-2018,61.5397
29-06-2018,61.4548
28-06-2018,61.4352
27-06-2018,61.4793
26-06-2018,61.4941
25-06-2018,61.4787
22-06-2018,61.4491
21-06-2018,61.4314
20-06-2018,61.3648
19-06-2018,61.342
18-06-2018,61.3114
15-06-2018,61.2257
14-06-2018,61.1922
13-06-2018,61.1531
12-06-2018,61.0971
11-06-2018,61.0732
08-06-2018,61.0525
07-06-2018,61.0134
06-06-2018,61.1055
05-06-2018,61.1956
04-06-2018,61.1683
01-06-2018,61.1506
31-05-2018,61.1697
30-05-2018,61.2462
29-05-2018,61.2129
28-05-2018,61.191
25-05-2018,61.1032
24-05-2018,61.0104
23-05-2018,61.0138
22-05-2018,61.0434
21-05-2018,61.0318
18-05-2018,61.0268
17-05-2018,60.9549
16-05-2018,61.0014
15-05-2018,61.0951
14-05-2018,61.1843
11-05-2018,61.1955
10-05-2018,61.2006
09-05-2018,61.2285
08-05-2018,61.2868
07-05-2018,61.2939
04-05-2018,61.2193
03-05-2018,61.223
02-05-2018,61.2024
27-04-2018,61.1076
26-04-2018,61.1168
25-04-2018,61.2004
24-04-2018,61.2643
23-04-2018,61.284
20-04-2018,61.2893
19-04-2018,61.3725
18-04-2018,61.4617
17-04-2018,61.5024
16-04-2018,61.5
13-04-2018,61.4693
12-04-2018,61.4662
11-04-2018,61.4696
10-04-2018,61.5345
09-04-2018,61.5846
06-04-2018,61.5539
05-04-2018,61.5298
