NAV Date,NAV (Rs)
01-01-2013,16.83
02-01-2013,16.83
03-01-2013,16.86
04-01-2013,16.88
07-01-2013,16.8
08-01-2013,16.84
09-01-2013,16.8
10-01-2013,16.78
11-01-2013,16.72
14-01-2013,16.92
15-01-2013,17.03
16-01-2013,16.89
17-01-2013,17.01
18-01-2013,17.02
21-01-2013,17.06
22-01-2013,16.96
23-01-2013,17
24-01-2013,16.85
25-01-2013,16.98
28-01-2013,17.04
29-01-2013,16.93
30-01-2013,16.93
31-01-2013,16.89
01-02-2013,16.88
04-02-2013,16.83
05-02-2013,16.72
06-02-2013,16.74
07-02-2013,16.68
08-02-2013,16.63
11-02-2013,16.59
12-02-2013,16.6798
13-02-2013,16.7595
14-02-2013,16.6197
15-02-2013,16.6134
18-02-2013,16.6177
19-02-2013,16.7325
20-02-2013,16.7554
21-02-2013,16.5001
22-02-2013,16.5206
25-02-2013,16.4798
26-02-2013,16.2629
27-02-2013,16.408
28-02-2013,16.1897
01-03-2013,16.2361
04-03-2013,16.1731
05-03-2013,16.4118
06-03-2013,16.5125
07-03-2013,16.6616
08-03-2013,16.8485
11-03-2013,16.8658
12-03-2013,16.8233
13-03-2013,16.6575
14-03-2013,16.8129
15-03-2013,16.687
18-03-2013,16.5846
19-03-2013,16.3344
20-03-2013,16.1719
21-03-2013,16.1323
22-03-2013,16.0831
25-03-2013,16.0455
26-03-2013,16.064
28-03-2013,16.1772
31-03-2013,16.1755
01-04-2013,16.2103
02-04-2013,16.321
03-04-2013,16.1371
04-04-2013,15.8821
05-04-2013,15.8657
08-04-2013,15.8538
09-04-2013,15.7289
10-04-2013,15.8859
11-04-2013,15.9803
12-04-2013,15.7761
15-04-2013,15.8321
16-04-2013,16.1075
17-04-2013,16.1403
18-04-2013,16.3483
22-04-2013,16.5524
23-04-2013,16.5453
25-04-2013,16.7046
26-04-2013,16.6551
29-04-2013,16.7312
30-04-2013,16.7627
02-05-2013,16.9062
03-05-2013,16.7842
06-05-2013,16.9087
07-05-2013,17.0592
08-05-2013,17.1553
09-05-2013,17.1215
10-05-2013,17.2357
13-05-2013,16.9326
14-05-2013,17.0222
15-05-2013,17.4025
16-05-2013,17.4703
17-05-2013,17.3664
20-05-2013,17.3153
21-05-2013,17.204
22-05-2013,17.1413
23-05-2013,16.8248
24-05-2013,16.8372
27-05-2013,17.0716
28-05-2013,17.143
29-05-2013,17.083
30-05-2013,17.1285
31-05-2013,16.8308
03-06-2013,16.6941
04-06-2013,16.6661
05-06-2013,16.696
06-06-2013,16.7075
07-06-2013,16.6504
10-06-2013,16.5959
11-06-2013,16.2896
12-06-2013,16.219
13-06-2013,16.0286
14-06-2013,16.3147
17-06-2013,16.4447
18-06-2013,16.3619
19-06-2013,16.4117
20-06-2013,15.9945
21-06-2013,15.9422
24-06-2013,15.6839
25-06-2013,15.71
26-06-2013,15.714
27-06-2013,15.9428
28-06-2013,16.2722
01-07-2013,16.4126
02-07-2013,16.3522
03-07-2013,16.1395
04-07-2013,16.3692
05-07-2013,16.3812
08-07-2013,16.3156
09-07-2013,16.3999
10-07-2013,16.35
11-07-2013,16.6036
12-07-2013,16.7125
15-07-2013,16.8901
16-07-2013,16.6292
17-07-2013,16.5877
18-07-2013,16.7354
19-07-2013,16.7287
22-07-2013,16.6986
23-07-2013,16.7637
24-07-2013,16.4702
25-07-2013,16.2892
26-07-2013,16.2336
29-07-2013,16.1097
