NAV Date,NAV (Rs)
04-04-2018,37.4463
03-04-2018,37.958
02-04-2018,37.7016
28-03-2018,37.2226
27-03-2018,37.3955
26-03-2018,37.0237
23-03-2018,36.4546
22-03-2018,36.828
21-03-2018,37.0123
20-03-2018,36.9164
19-03-2018,36.7848
16-03-2018,37.1569
15-03-2018,37.6256
14-03-2018,37.6373
13-03-2018,37.6756
12-03-2018,37.5171
09-03-2018,36.9845
08-03-2018,37.0051
07-03-2018,36.7419
06-03-2018,37.0995
05-03-2018,37.4916
01-03-2018,37.7447
28-02-2018,37.8969
27-02-2018,38.0374
26-02-2018,38.1243
23-02-2018,37.6405
22-02-2018,37.1566
21-02-2018,37.2341
20-02-2018,37.2245
19-02-2018,37.3103
16-02-2018,37.6482
15-02-2018,37.9693
14-02-2018,37.9518
12-02-2018,37.9838
09-02-2018,37.6384
08-02-2018,37.9603
07-02-2018,37.5791
06-02-2018,37.4903
05-02-2018,38.0039
02-02-2018,38.2944
01-02-2018,39.3505
31-01-2018,39.2322
30-01-2018,39.3642
29-01-2018,39.6219
25-01-2018,39.4893
24-01-2018,39.6927
23-01-2018,39.7828
22-01-2018,39.58
19-01-2018,39.481
18-01-2018,39.2607
17-01-2018,39.3345
16-01-2018,39.044
15-01-2018,39.3123
12-01-2018,39.2138
11-01-2018,39.2019
10-01-2018,39.1657
09-01-2018,39.3019
08-01-2018,39.3426
05-01-2018,39.0373
04-01-2018,38.8748
03-01-2018,38.599
02-01-2018,38.5402
01-01-2018,38.6218
29-12-2017,38.8337
28-12-2017,38.7128
27-12-2017,38.7646
26-12-2017,38.878
22-12-2017,38.8212
21-12-2017,38.6513
20-12-2017,38.6463
19-12-2017,38.6107
18-12-2017,38.2704
15-12-2017,38.0908
14-12-2017,37.7378
13-12-2017,37.5964
12-12-2017,37.7672
11-12-2017,38.1027
08-12-2017,37.9055
07-12-2017,37.4685
06-12-2017,36.994
05-12-2017,37.3509
04-12-2017,37.392
01-12-2017,37.4724
30-11-2017,37.7261
29-11-2017,38.1297
28-11-2017,38.0795
27-11-2017,38.1112
24-11-2017,38.0127
23-11-2017,37.9163
22-11-2017,37.9189
21-11-2017,37.8975
20-11-2017,37.7578
17-11-2017,37.6629
16-11-2017,37.3332
15-11-2017,37.05
14-11-2017,37.3053
13-11-2017,37.4185
10-11-2017,37.628
09-11-2017,37.6051
08-11-2017,37.4902
07-11-2017,37.6839
06-11-2017,38.0822
03-11-2017,37.9117
02-11-2017,37.8504
01-11-2017,37.7597
31-10-2017,37.4988
30-10-2017,37.5317
27-10-2017,37.2387
26-10-2017,37.2087
25-10-2017,37.1168
24-10-2017,37.0743
23-10-2017,37.0153
18-10-2017,37.1371
17-10-2017,37.2072
16-10-2017,37.0885
13-10-2017,36.9522
12-10-2017,36.838
11-10-2017,36.4384
10-10-2017,36.5457
09-10-2017,36.4308
06-10-2017,36.4535
05-10-2017,36.1591
04-10-2017,36.2188
03-10-2017,36.1092
29-09-2017,35.8512
28-09-2017,35.6041
27-09-2017,35.4426
26-09-2017,35.9517
25-09-2017,35.9817
22-09-2017,36.5294
21-09-2017,37.2494
20-09-2017,37.3729
19-09-2017,37.4148
18-09-2017,37.455
15-09-2017,37.2491
14-09-2017,37.2485
13-09-2017,37.2271
12-09-2017,37.468
11-09-2017,37.0803
08-09-2017,36.7417
07-09-2017,36.7945
06-09-2017,36.6344
05-09-2017,36.6821
04-09-2017,36.4636
01-09-2017,36.7499
31-08-2017,36.557
30-08-2017,36.4634
29-08-2017,36.0373
28-08-2017,36.4396
24-08-2017,36.1944
23-08-2017,36.078
22-08-2017,35.7806
21-08-2017,35.7865
18-08-2017,36.1364
17-08-2017,36.3733
16-08-2017,36.4135
14-08-2017,36.0924
11-08-2017,35.5769
10-08-2017,35.8865
09-08-2017,36.3241
08-08-2017,36.7334
07-08-2017,37.0658
04-08-2017,36.8987
03-08-2017,36.5342
02-08-2017,36.7936
01-08-2017,36.8582
31-07-2017,36.6581
28-07-2017,36.4122
27-07-2017,36.4162
26-07-2017,36.3845
25-07-2017,36.2979
24-07-2017,36.2265
21-07-2017,36.1335
20-07-2017,36.0458
19-07-2017,36.2039
18-07-2017,35.8865
17-07-2017,36.2243
14-07-2017,36.1927
13-07-2017,36.1426
12-07-2017,35.8234
11-07-2017,35.6773
10-07-2017,35.6867
07-07-2017,35.4496
06-07-2017,35.4999
05-07-2017,35.408
04-07-2017,35.2072
03-07-2017,35.2205
30-06-2017,34.9294
29-06-2017,34.7879
28-06-2017,34.742
27-06-2017,34.8133
23-06-2017,35.0049
22-06-2017,35.3042
21-06-2017,35.3705
20-06-2017,35.4274
