Historical Mutual Fund NAV of Kotak-Small Cap Fund - Growth,
scheme:- Kotak-Small Cap Fund - Growth,
Start Date:- 24-02-2005,
End Date:- 13-11-2020,
NAV Date,NAV (Rs)
13-11-2020,85.786
12-11-2020,84.998
11-11-2020,84.329
10-11-2020,83.692
09-11-2020,83.652
06-11-2020,83.293
05-11-2020,83.022
04-11-2020,82.162
03-11-2020,81.768
02-11-2020,81.169
30-10-2020,80.971
29-10-2020,80.808
28-10-2020,80.719
27-10-2020,81.13
26-10-2020,80.835
23-10-2020,81.425
22-10-2020,80.695
21-10-2020,80.575
20-10-2020,80.473
19-10-2020,80.311
16-10-2020,79.72
15-10-2020,78.734
14-10-2020,79.811
13-10-2020,79.631
12-10-2020,79.417
09-10-2020,80.019
08-10-2020,80.054
07-10-2020,80.258
06-10-2020,80.729
05-10-2020,80.547
01-10-2020,80.011
30-09-2020,79.667
29-09-2020,79.683
28-09-2020,79.474
25-09-2020,77.836
24-09-2020,76.199
23-09-2020,78.065
22-09-2020,78.274
21-09-2020,79.303
18-09-2020,82.028
17-09-2020,82.154
16-09-2020,81.937
15-09-2020,81.704
14-09-2020,80.807
11-09-2020,76.869
10-09-2020,77.087
09-09-2020,75.916
08-09-2020,76.789
07-09-2020,77.189
04-09-2020,76.849
03-09-2020,77.309
02-09-2020,77.11
01-09-2020,75.94
31-08-2020,75.802
28-08-2020,78.747
27-08-2020,79.119
26-08-2020,78.595
25-08-2020,77.638
24-08-2020,78.128
21-08-2020,77.112
20-08-2020,75.383
19-08-2020,75.017
18-08-2020,74.241
17-08-2020,73.61
14-08-2020,72.625
13-08-2020,73.185
12-08-2020,72.028
11-08-2020,72.082
10-08-2020,71.719
07-08-2020,71.116
06-08-2020,70.815
05-08-2020,69.946
04-08-2020,69.564
03-08-2020,69.19
31-07-2020,68.113
30-07-2020,67.393
29-07-2020,67.548
28-07-2020,67.641
27-07-2020,67.456
24-07-2020,68.102
23-07-2020,68.139
22-07-2020,67.502
21-07-2020,67.304
20-07-2020,66.88
17-07-2020,65.958
16-07-2020,65.361
15-07-2020,65.35
14-07-2020,65.413
13-07-2020,65.961
10-07-2020,66.096
09-07-2020,66.447
08-07-2020,66.071
07-07-2020,66.094
06-07-2020,65.789
03-07-2020,65.273
02-07-2020,64.908
01-07-2020,64.311
30-06-2020,63.927
29-06-2020,64.077
26-06-2020,64.826
25-06-2020,64.772
24-06-2020,64.577
23-06-2020,65.316
22-06-2020,64.227
19-06-2020,63.416
18-06-2020,62.442
17-06-2020,61.779
16-06-2020,61.52
15-06-2020,61.222
12-06-2020,61.325
11-06-2020,61.205
10-06-2020,61.907
09-06-2020,61.761
08-06-2020,62.132
05-06-2020,61.636
04-06-2020,60.373
03-06-2020,60.404
02-06-2020,59.877
01-06-2020,58.28
29-05-2020,56.804
28-05-2020,56.35
27-05-2020,55.424
26-05-2020,55.102
22-05-2020,54.602
21-05-2020,54.721
20-05-2020,54.365
19-05-2020,53.648
18-05-2020,53.644
15-05-2020,55.438
14-05-2020,55.496
13-05-2020,55.879
12-05-2020,54.712
11-05-2020,55.177
08-05-2020,55.527
07-05-2020,56.02
06-05-2020,56.406
05-05-2020,56.246
04-05-2020,56.718
30-04-2020,58.783
29-04-2020,57.939
28-04-2020,57.299
27-04-2020,57.079
24-04-2020,56.264
23-04-2020,57.342
22-04-2020,56.799
21-04-2020,55.916
20-04-2020,57.562
17-04-2020,57.066
16-04-2020,55.48
15-04-2020,54.685
13-04-2020,53.821
09-04-2020,54.392
08-04-2020,53.191
07-04-2020,52.578
03-04-2020,50.802
01-04-2020,51.889
31-03-2020,52.545
30-03-2020,51.061
27-03-2020,52.154
26-03-2020,52.171
25-03-2020,50.66
24-03-2020,49.568
23-03-2020,49.895
20-03-2020,56.045
19-03-2020,54.772
18-03-2020,57.422
17-03-2020,60.795
16-03-2020,62.175
13-03-2020,65.818
12-03-2020,65.519
11-03-2020,70.874
09-03-2020,71.316
06-03-2020,74.03
05-03-2020,75.115
04-03-2020,74.775
03-03-2020,75.899
02-03-2020,75.376
28-02-2020,75.744
27-02-2020,77.487
26-02-2020,78.134
25-02-2020,78.742
24-02-2020,79.148
20-02-2020,80.243
19-02-2020,80.172
18-02-2020,79.124
17-02-2020,79.647
14-02-2020,80.257
13-02-2020,80.389
12-02-2020,80.561
11-02-2020,80.435
10-02-2020,80.475
07-02-2020,80.804
06-02-2020,80.225
05-02-2020,80.121
04-02-2020,79.707
03-02-2020,78.832
31-01-2020,79.708
30-01-2020,79.708
29-01-2020,80.156
28-01-2020,79.819
27-01-2020,79.709
24-01-2020,79.728
23-01-2020,79.066
22-01-2020,78.082
21-01-2020,78.075
20-01-2020,77.943
17-01-2020,78.061
16-01-2020,77.693
15-01-2020,77.053
14-01-2020,76.69
13-01-2020,76.199
10-01-2020,75.664
09-01-2020,75.246
08-01-2020,74.289
07-01-2020,74.12
06-01-2020,73.473
03-01-2020,74.467
02-01-2020,74.047
01-01-2020,73.233
31-12-2019,73.018
30-12-2019,72.666
27-12-2019,72.269
26-12-2019,71.633
24-12-2019,71.405
23-12-2019,71.516
20-12-2019,71.629
19-12-2019,71.559
18-12-2019,71.522
17-12-2019,71.521
16-12-2019,71.278
13-12-2019,71.525
12-12-2019,70.978
11-12-2019,70.701
10-12-2019,70.595
09-12-2019,71.314
06-12-2019,71.447
05-12-2019,71.892
04-12-2019,72.012
03-12-2019,71.601
02-12-2019,71.969
29-11-2019,71.978
28-11-2019,71.92
27-11-2019,71.774
26-11-2019,71.395
25-11-2019,71.376
22-11-2019,71.109
21-11-2019,71.14
20-11-2019,71.5
19-11-2019,71.447
18-11-2019,71.428
15-11-2019,71.416
14-11-2019,71.637
13-11-2019,71.268
11-11-2019,71.38
08-11-2019,71.112
07-11-2019,71.188
06-11-2019,71.034
05-11-2019,71.255
04-11-2019,71.774
01-11-2019,71.489
31-10-2019,71.346
30-10-2019,70.986
29-10-2019,70.912
25-10-2019,70.138
24-10-2019,70.33
23-10-2019,70.241
22-10-2019,70.231
18-10-2019,69.914
17-10-2019,69.15
16-10-2019,68.478
15-10-2019,68.576
14-10-2019,68.618
11-10-2019,68.51
10-10-2019,68.324
09-10-2019,68.799
07-10-2019,68.42
04-10-2019,68.865
03-10-2019,69.2
01-10-2019,69.257
30-09-2019,69.939
27-09-2019,70.431
26-09-2019,70.5
25-09-2019,70.114
24-09-2019,70.679
23-09-2019,70.713
20-09-2019,68.363
19-09-2019,65.895
18-09-2019,66.419
17-09-2019,66.442
16-09-2019,67.384
13-09-2019,67.13
12-09-2019,66.608
11-09-2019,66.697
09-09-2019,65.888
06-09-2019,65.221
05-09-2019,64.75
04-09-2019,64.463
03-09-2019,64.221
30-08-2019,65.026
29-08-2019,64.444
28-08-2019,64.94
27-08-2019,65.176
26-08-2019,64.318
23-08-2019,63.376
22-08-2019,63.228
21-08-2019,63.746
20-08-2019,64.381
19-08-2019,64.796
16-08-2019,64.592
14-08-2019,64.313
13-08-2019,63.872
09-08-2019,64.929
08-08-2019,64.289
07-08-2019,63.868
06-08-2019,63.686
05-08-2019,62.623
02-08-2019,63.685
01-08-2019,64.059
31-07-2019,64.806
30-07-2019,64.496
29-07-2019,65.705
26-07-2019,66.504
25-07-2019,66.309
24-07-2019,66.316
23-07-2019,67.029
22-07-2019,67.02
19-07-2019,67.363
18-07-2019,68.601
17-07-2019,69.292
16-07-2019,69.162
15-07-2019,69.206
12-07-2019,69.675
11-07-2019,69.636
10-07-2019,69.381
09-07-2019,69.843
08-07-2019,69.953
05-07-2019,71.119
04-07-2019,71.974
03-07-2019,71.824
02-07-2019,71.778
01-07-2019,71.556
28-06-2019,71.383
27-06-2019,71.063
26-06-2019,70.706
25-06-2019,70.442
24-06-2019,70.086
21-06-2019,70.297
20-06-2019,70.39
19-06-2019,69.833
18-06-2019,70.266
17-06-2019,70.322
14-06-2019,71.147
13-06-2019,71.471
12-06-2019,71.713
11-06-2019,72.098
10-06-2019,71.908
07-06-2019,71.896
06-06-2019,71.979
04-06-2019,72.61
03-06-2019,72.744
31-05-2019,72.472
30-05-2019,72.427
29-05-2019,72.385
28-05-2019,72.622
27-05-2019,72.349
24-05-2019,71.002
23-05-2019,69.719
22-05-2019,69.285
21-05-2019,69.069
20-05-2019,69.332
17-05-2019,67.076
16-05-2019,67.033
15-05-2019,67.008
14-05-2019,67.167
13-05-2019,67.034
10-05-2019,68.053
09-05-2019,68.09
08-05-2019,68.549
07-05-2019,68.969
06-05-2019,69.409
03-05-2019,69.959
02-05-2019,70.213
30-04-2019,70.451
26-04-2019,71.011
25-04-2019,71.079
24-04-2019,71.064
23-04-2019,70.89
22-04-2019,70.86
18-04-2019,71.75
16-04-2019,72.254
15-04-2019,71.9
12-04-2019,71.588
11-04-2019,71.433
